species,age_class,air_temp_c,wind_speed_ms,food_avail_index,migration_willingness
sparrow,juvenile,15,5,0.7,0.65
sparrow,adult,15,5,0.7,0.72
swallow,juvenile,12,8,0.5,0.85
swallow,adult,12,8,0.5,0.90
tern,juvenile,18,3,0.8,0.45
tern,adult,18,3,0.8,0.52
goose,juvenile,10,12,0.3,0.95
goose,adult,10,12,0.3,0.88
sparrow,juvenile,8,15,0.2,0.80
sparrow,adult,8,15,0.2,0.75
swallow,juvenile,20,2,0.9,0.30
swallow,adult,20,2,0.9,0.25
tern,juvenile,5,18,0.1,0.92
tern,adult,5,18,0.1,0.88
goose,juvenile,22,1,0.95,0.15
goose,adult,22,1,0.95,0.20
sparrow,adult,14,7,0.6,0.68
swallow,juvenile,16,4,0.75,0.58
