soc_id,soc_code
0,11-1011.00
1,11-1011.03
2,11-1021.00
3,11-1031.00
4,11-2011.00
5,11-2021.00
6,11-2022.00
7,11-2032.00
8,11-2033.00
9,11-3012.00
10,11-3013.00
11,11-3013.01
12,11-3021.00
13,11-3031.00
14,11-3031.01
15,11-3031.03
16,11-3051.00
17,11-3051.01
18,11-3051.02
19,11-3051.03
20,11-3051.04
21,11-3051.06
22,11-3061.00
23,11-3071.00
24,11-3071.04
25,11-3111.00
26,11-3121.00
27,11-3131.00
28,11-9013.00
29,11-9021.00
30,11-9031.00
31,11-9032.00
32,11-9033.00
33,11-9041.00
34,11-9041.01
35,11-9051.00
36,11-9071.00
37,11-9072.00
38,11-9081.00
39,11-9111.00
40,11-9121.00
41,11-9121.01
42,11-9121.02
43,11-9131.00
44,11-9141.00
45,11-9151.00
46,11-9161.00
47,11-9171.00
48,11-9179.01
49,11-9179.02
50,11-9199.01
51,11-9199.02
52,11-9199.08
53,11-9199.09
54,11-9199.10
55,11-9199.11
56,13-1011.00
57,13-1021.00
58,13-1022.00
59,13-1023.00
60,13-1031.00
61,13-1032.00
62,13-1041.00
63,13-1041.01
64,13-1041.03
65,13-1041.04
66,13-1041.06
67,13-1041.07
68,13-1041.08
69,13-1051.00
70,13-1071.00
71,13-1074.00
72,13-1075.00
73,13-1081.00
74,13-1081.01
75,13-1081.02
76,13-1082.00
77,13-1111.00
78,13-1121.00
79,13-1131.00
80,13-1141.00
81,13-1151.00
82,13-1161.00
83,13-1161.01
84,13-1199.04
85,13-1199.05
86,13-1199.06
87,13-1199.07
88,13-2011.00
89,13-2022.00
90,13-2023.00
91,13-2031.00
92,13-2041.00
93,13-2051.00
94,13-2052.00
95,13-2053.00
96,13-2054.00
97,13-2061.00
98,13-2071.00
99,13-2072.00
100,13-2081.00
101,13-2082.00
102,13-2099.01
103,13-2099.04
104,15-1211.00
105,15-1211.01
106,15-1212.00
107,15-1221.00
108,15-1231.00
109,15-1232.00
110,15-1241.00
111,15-1241.01
112,15-1242.00
113,15-1243.00
114,15-1243.01
115,15-1244.00
116,15-1251.00
117,15-1252.00
118,15-1253.00
119,15-1254.00
120,15-1255.00
121,15-1255.01
122,15-1299.01
123,15-1299.02
124,15-1299.03
125,15-1299.04
126,15-1299.05
127,15-1299.06
128,15-1299.07
129,15-1299.08
130,15-1299.09
131,15-2011.00
132,15-2021.00
133,15-2031.00
134,15-2041.00
135,15-2041.01
136,15-2051.00
137,15-2051.01
138,15-2051.02
139,15-2099.01
140,17-1011.00
141,17-1012.00
142,17-1021.00
143,17-1022.00
144,17-1022.01
145,17-2011.00
146,17-2021.00
147,17-2031.00
148,17-2041.00
149,17-2051.00
150,17-2051.01
151,17-2051.02
152,17-2061.00
153,17-2071.00
154,17-2072.00
155,17-2072.01
156,17-2081.00
157,17-2111.00
158,17-2111.02
159,17-2112.00
160,17-2112.01
161,17-2112.02
162,17-2112.03
163,17-2121.00
164,17-2131.00
165,17-2141.00
166,17-2141.01
167,17-2141.02
168,17-2151.00
169,17-2161.00
170,17-2171.00
171,17-2199.03
172,17-2199.05
173,17-2199.06
174,17-2199.07
175,17-2199.08
176,17-2199.09
177,17-2199.10
178,17-2199.11
179,17-3011.00
180,17-3012.00
181,17-3013.00
182,17-3021.00
183,17-3022.00
184,17-3023.00
185,17-3024.00
186,17-3024.01
187,17-3025.00
188,17-3026.00
189,17-3026.01
190,17-3027.00
191,17-3027.01
192,17-3028.00
193,17-3029.01
194,17-3029.08
195,17-3031.00
196,19-1011.00
197,19-1012.00
198,19-1013.00
199,19-1021.00
200,19-1022.00
201,19-1023.00
202,19-1029.01
203,19-1029.02
204,19-1029.03
205,19-1029.04
206,19-1031.00
207,19-1031.02
208,19-1031.03
209,19-1032.00
210,19-1041.00
211,19-1042.00
212,19-2011.00
213,19-2012.00
214,19-2021.00
215,19-2031.00
216,19-2032.00
217,19-2041.00
218,19-2041.01
219,19-2041.02
220,19-2041.03
221,19-2042.00
222,19-2043.00
223,19-2099.01
224,19-3011.00
225,19-3011.01
226,19-3022.00
227,19-3032.00
228,19-3033.00
229,19-3034.00
230,19-3039.02
231,19-3039.03
232,19-3041.00
233,19-3051.00
234,19-3091.00
235,19-3092.00
236,19-3093.00
237,19-3094.00
238,19-3099.01
239,19-4012.00
240,19-4012.01
241,19-4013.00
242,19-4021.00
243,19-4031.00
244,19-4042.00
245,19-4043.00
246,19-4044.00
247,19-4051.00
248,19-4051.02
249,19-4061.00
250,19-4071.00
251,19-4092.00
252,19-4099.01
253,19-4099.03
254,19-5011.00
255,19-5012.00
256,21-1011.00
257,21-1012.00
258,21-1013.00
259,21-1014.00
260,21-1015.00
261,21-1021.00
262,21-1022.00
263,21-1023.00
264,21-1091.00
265,21-1092.00
266,21-1093.00
267,21-1094.00
268,21-2011.00
269,21-2021.00
270,23-1011.00
271,23-1012.00
272,23-1021.00
273,23-1022.00
274,23-1023.00
275,23-2011.00
276,23-2093.00
277,25-1011.00
278,25-1021.00
279,25-1022.00
280,25-1031.00
281,25-1032.00
282,25-1041.00
283,25-1042.00
284,25-1043.00
285,25-1051.00
286,25-1052.00
287,25-1053.00
288,25-1054.00
289,25-1061.00
290,25-1062.00
291,25-1063.00
292,25-1064.00
293,25-1065.00
294,25-1066.00
295,25-1067.00
296,25-1071.00
297,25-1072.00
298,25-1081.00
299,25-1082.00
300,25-1111.00
301,25-1112.00
302,25-1113.00
303,25-1121.00
304,25-1122.00
305,25-1123.00
306,25-1124.00
307,25-1125.00
308,25-1126.00
309,25-1192.00
310,25-1193.00
311,25-1194.00
312,25-2011.00
313,25-2012.00
314,25-2021.00
315,25-2022.00
316,25-2023.00
317,25-2031.00
318,25-2032.00
319,25-2051.00
320,25-2055.00
321,25-2056.00
322,25-2057.00
323,25-2058.00
324,25-2059.01
325,25-3011.00
326,25-3021.00
327,25-3031.00
328,25-3041.00
329,25-4011.00
330,25-4012.00
331,25-4013.00
332,25-4022.00
333,25-4031.00
