date,epiweek,nta_id,county,neighborhood,cases_week,cases_4_week_avg,hospitalizations_month,deaths_month,retail_and_recreation_change_week,grocery_and_pharmacy_change_week,parks_change_week,transit_stations_change_week,workplaces_change_week,residential_change_week
2020/08/08,202032,QN0103,Queens County,Astoria,3.0,,,,-24.3,-4.3,119.3,-48.7,-39.9,12.4
2020/08/15,202033,QN0103,Queens County,Astoria,10.0,,,,-24.0,-3.7,138.4,-47.3,-39.1,11.6
2020/08/22,202034,QN0103,Queens County,Astoria,10.0,,,,-25.6,-4.9,120.4,-47.4,-39.1,11.4
2020/08/29,202035,QN0103,Queens County,Astoria,15.0,10.0,,,-24.4,-4.7,115.3,-46.9,-38.4,11.4
2020/09/05,202036,QN0103,Queens County,Astoria,9.0,11.0,,,-22.0,-2.3,130.6,-45.9,-38.0,10.3
2020/09/12,202037,QN0103,Queens County,Astoria,6.0,10.0,,,-23.1,-3.3,129.6,-47.4,-40.6,11.1
2020/09/19,202038,QN0103,Queens County,Astoria,12.0,10.0,,,-20.9,-2.6,103.7,-45.0,-34.1,10.6
2020/09/26,202039,QN0103,Queens County,Astoria,20.0,12.0,,,-21.7,-2.7,89.0,-45.1,-34.3,10.7
2020/10/03,202040,QN0103,Queens County,Astoria,19.0,14.0,,,-22.7,-1.3,73.7,-44.9,-33.9,10.7
2020/10/10,202041,QN0103,Queens County,Astoria,17.0,17.0,,,-24.1,-1.3,73.7,-44.4,-33.4,10.7
2020/10/17,202042,QN0103,Queens County,Astoria,18.0,18.0,,,-29.0,-6.9,35.4,-46.0,-35.0,12.3
2020/10/24,202043,QN0103,Queens County,Astoria,19.0,18.0,,,-25.1,-1.4,60.3,-43.9,-32.4,11.1
2020/10/31,202044,QN0103,Queens County,Astoria,25.0,20.0,,,-27.0,-4.4,15.3,-46.0,-32.9,12.0
2020/11/07,202045,QN0103,Queens County,Astoria,39.0,25.0,6.0,,-25.7,-4.4,34.1,-45.7,-32.9,12.0
2020/11/14,202046,QN0103,Queens County,Astoria,63.0,36.0,6.0,,-26.0,-4.9,37.4,-45.7,-33.1,12.3
2020/11/21,202047,QN0103,Queens County,Astoria,45.0,43.0,6.0,,-27.6,-4.7,15.6,-45.9,-32.7,12.6
2020/11/28,202048,QN0103,Queens County,Astoria,66.0,53.0,6.0,,-29.7,-2.6,12.3,-50.4,-41.1,14.7
2020/12/05,202049,QN0103,Queens County,Astoria,101.0,69.0,25.0,,-30.9,-9.4,-6.0,-48.6,-34.4,14.0
2020/12/12,202050,QN0103,Queens County,Astoria,138.0,88.0,25.0,,-28.7,-6.3,-1.7,-48.4,-33.4,13.1
2020/12/19,202051,QN0103,Queens County,Astoria,114.0,105.0,25.0,,-36.3,-10.4,-10.4,-49.7,-38.6,16.4
2020/12/26,202052,QN0103,Queens County,Astoria,129.0,120.0,25.0,,-31.4,-1.7,-22.1,-51.1,-43.6,15.1
2021/01/02,202053,QN0103,Queens County,Astoria,130.0,128.0,27.0,,-34.4,-7.7,-7.1,-53.0,-45.1,16.6
2021/01/09,202101,QN0103,Queens County,Astoria,201.0,144.0,27.0,,-36.4,-9.9,-13.6,-50.3,-36.1,15.3
2021/01/16,202102,QN0103,Queens County,Astoria,151.0,153.0,27.0,,-35.9,-10.4,-3.6,-51.0,-36.9,14.4
2021/01/23,202103,QN0103,Queens County,Astoria,120.0,150.0,27.0,,-36.4,-12.6,-7.6,-53.7,-39.1,15.0
2021/01/30,202104,QN0103,Queens County,Astoria,142.0,154.0,27.0,,-39.3,-14.7,-22.0,-54.0,-37.7,15.1
2021/02/06,202105,QN0103,Queens County,Astoria,111.0,131.0,39.0,8.0,-46.1,-17.3,-29.3,-55.9,-44.7,19.1
2021/02/13,202106,QN0103,Queens County,Astoria,109.0,120.0,39.0,8.0,-38.7,-12.7,-29.7,-52.0,-38.4,15.1
2021/02/20,202107,QN0103,Queens County,Astoria,107.0,117.0,39.0,8.0,-37.7,-15.0,-25.4,-51.9,-40.3,16.3
2021/02/27,202108,QN0103,Queens County,Astoria,109.0,109.0,39.0,8.0,-30.9,-9.6,-6.0,-48.1,-34.3,13.0
2021/03/06,202109,QN0103,Queens County,Astoria,109.0,108.0,27.0,,-29.7,-8.7,-8.3,-48.0,-34.1,13.0
2021/03/13,202110,QN0103,Queens County,Astoria,126.0,113.0,27.0,,-24.4,-5.1,41.7,-46.0,-33.0,11.9
2021/03/20,202111,QN0103,Queens County,Astoria,128.0,118.0,27.0,,-26.0,-7.7,11.0,-45.9,-33.1,12.0
2021/03/27,202112,QN0103,Queens County,Astoria,125.0,122.0,27.0,,-20.4,-4.3,66.0,-43.1,-32.9,10.7
2021/04/03,202113,QN0103,Queens County,Astoria,111.0,122.0,17.0,,-22.9,-4.1,19.6,-45.3,-37.9,11.7
2021/04/10,202114,QN0103,Queens County,Astoria,93.0,114.0,17.0,,-19.9,-2.9,79.4,-41.4,-33.6,10.0
2021/04/17,202115,QN0103,Queens County,Astoria,78.0,102.0,17.0,,-24.3,-7.4,21.4,-42.6,-32.4,11.0
2021/04/24,202116,QN0103,Queens County,Astoria,46.0,82.0,17.0,,-19.0,-3.7,71.0,-40.6,-30.9,9.6
2021/05/01,202117,QN0103,Queens County,Astoria,23.0,60.0,,,-18.4,-1.7,63.4,-39.9,-30.6,9.7
2021/05/08,202118,QN0103,Queens County,Astoria,23.0,42.0,,,-17.0,0.3,58.4,-38.3,-30.4,8.7
2021/05/15,202119,QN0103,Queens County,Astoria,9.0,25.0,,,-14.3,0.9,84.9,-35.9,-30.9,8.1
2021/05/22,202120,QN0103,Queens County,Astoria,3.0,14.0,,,-11.4,2.0,111.7,-34.0,-29.3,7.6
2021/05/29,202121,QN0103,Queens County,Astoria,9.0,11.0,,,-13.7,-0.6,70.6,-34.4,-29.1,7.9
2021/06/05,202122,QN0103,Queens County,Astoria,4.0,6.0,,,-13.9,0.1,72.1,-35.7,-33.1,8.7
2021/06/12,202123,QN0103,Queens County,Astoria,7.0,6.0,,,-9.9,2.9,100.0,-31.0,-27.1,6.9
2021/06/19,202124,QN0103,Queens County,Astoria,6.0,6.0,,,-8.0,4.0,108.3,-29.7,-27.6,6.3
2021/06/26,202125,QN0103,Queens County,Astoria,9.0,6.0,,,-8.1,2.3,108.4,-29.4,-28.3,5.7
2021/07/03,202126,QN0103,Queens County,Astoria,19.0,10.0,,,-11.9,0.0,71.3,-31.4,-31.9,6.7
2021/07/10,202127,QN0103,Queens County,Astoria,25.0,15.0,,,-12.4,1.1,112.0,-30.3,-36.0,6.9
2021/07/17,202128,QN0103,Queens County,Astoria,27.0,20.0,,,-10.3,2.1,95.9,-28.1,-29.4,6.4
2021/07/24,202129,QN0103,Queens County,Astoria,39.0,28.0,,,-8.9,3.3,108.1,-27.6,-29.4,6.0
2021/07/31,202130,QN0103,Queens County,Astoria,35.0,32.0,,,-9.0,2.3,104.4,-27.3,-29.0,6.0
2021/08/07,202131,QN0103,Queens County,Astoria,50.0,38.0,10.0,,-8.3,3.6,109.7,-27.6,-29.1,5.7
2021/08/14,202132,QN0103,Queens County,Astoria,65.0,47.0,10.0,,-10.4,1.6,82.1,-28.1,-29.3,6.3
2021/08/21,202133,QN0103,Queens County,Astoria,69.0,55.0,10.0,,-9.7,3.0,92.9,-28.0,-30.1,6.0
2021/08/28,202134,QN0103,Queens County,Astoria,59.0,61.0,10.0,,-15.7,-4.4,54.4,-31.4,-33.1,8.0
2021/09/04,202135,QN0103,Queens County,Astoria,70.0,66.0,8.0,,-8.7,1.9,110.1,-27.0,-31.9,6.6
2021/09/11,202136,QN0103,Queens County,Astoria,71.0,67.0,8.0,,-8.3,1.9,108.7,-29.0,-34.7,7.1
2021/09/18,202137,QN0103,Queens County,Astoria,62.0,66.0,8.0,,-5.4,5.9,92.3,-23.4,-29.1,5.0
2021/09/25,202138,QN0103,Queens County,Astoria,51.0,64.0,8.0,,-7.7,4.3,88.4,-23.0,-27.0,4.9
2021/10/02,202139,QN0103,Queens County,Astoria,38.0,56.0,6.0,,-7.9,5.4,75.6,-24.1,-23.9,4.7
2021/10/09,202140,QN0103,Queens County,Astoria,46.0,49.0,6.0,,-10.1,5.3,65.3,-23.3,-22.6,4.7
2021/10/16,202141,QN0103,Queens County,Astoria,38.0,43.0,6.0,,-10.0,4.4,61.7,-25.0,-24.7,5.6
2021/10/23,202142,QN0103,Queens County,Astoria,28.0,38.0,6.0,,-9.4,4.1,57.7,-23.1,-21.9,4.6
2021/10/30,202143,QN0103,Queens County,Astoria,35.0,37.0,6.0,,-10.3,3.9,33.9,-24.1,-22.4,6.0
2021/11/06,202144,QN0103,Queens County,Astoria,50.0,38.0,,,-9.6,5.6,38.1,-23.0,-22.4,5.4
2021/11/13,202145,QN0103,Queens County,Astoria,33.0,36.0,,,-10.9,2.9,34.1,-23.0,-23.1,6.1
2021/11/20,202146,QN0103,Queens County,Astoria,68.0,46.0,,,-10.7,3.1,22.0,-20.0,-20.3,5.1
2021/11/27,202147,QN0103,Queens County,Astoria,69.0,55.0,,,-14.9,3.0,3.7,-27.3,-33.9,8.6
2021/12/04,202148,QN0103,Queens County,Astoria,93.0,66.0,62.0,,-13.3,1.3,8.0,-20.1,-21.1,6.0
2021/12/11,202149,QN0103,Queens County,Astoria,120.0,88.0,62.0,,-12.7,1.1,7.9,-20.7,-19.0,5.9
