Revised 2019-2023 Labor Force Data,,,,,,
,,,Labor Force,Employed,Unemployed,Unemployment
Area,Year,Month,,,,Rate (%)
Richmond County,2023,Jan," 	228,500 "," 	216,400 "," 	12,100 ", 	5.3 
Richmond County,2023,Feb," 	230,700 "," 	218,500 "," 	12,200 ", 	5.3 
Richmond County,2023,Mar," 	231,000 "," 	219,900 "," 	11,200 ", 	4.8 
Richmond County,2023,Apr," 	229,400 "," 	218,900 "," 	10,500 ", 	4.6 
Richmond County,2023,May," 	229,800 "," 	219,200 "," 	10,600 ", 	4.6 
Richmond County,2023,Jun," 	230,100 "," 	218,600 "," 	11,500 ", 	5.0 
Richmond County,2023,Jul," 	230,900 "," 	219,000 "," 	11,900 ", 	5.2 
Richmond County,2023,Aug," 	230,800 "," 	218,500 "," 	12,300 ", 	5.3 
Richmond County,2023,Sep," 	228,100 "," 	217,500 "," 	10,700 ", 	4.7 
Richmond County,2023,Oct," 	229,200 "," 	217,900 "," 	11,300 ", 	4.9 
Richmond County,2023,Nov," 	228,900 "," 	219,100 "," 	9,900 ", 	4.3 
Richmond County,2023,Dec," 	227,600 "," 	217,200 "," 	10,400 ", 	4.6 
Richmond County,2023,Avg," 	229,583 "," 	218,392 "," 	11,217 ", 	4.9 
,,,,,,
Richmond County,2022,Jan," 	227,500 "," 	210,400 "," 	17,000 ", 	7.5 
Richmond County,2022,Feb," 	228,100 "," 	212,500 "," 	15,500 ", 	6.8 
Richmond County,2022,Mar," 	227,300 "," 	213,600 "," 	13,700 ", 	6.0 
Richmond County,2022,Apr," 	225,500 "," 	213,200 "," 	12,200 ", 	5.4 
Richmond County,2022,May," 	225,400 "," 	213,600 "," 	11,800 ", 	5.2 
Richmond County,2022,Jun," 	226,000 "," 	214,000 "," 	12,100 ", 	5.3 
Richmond County,2022,Jul," 	228,700 "," 	216,100 "," 	12,600 ", 	5.5 
Richmond County,2022,Aug," 	228,700 "," 	216,700 "," 	12,000 ", 	5.2 
Richmond County,2022,Sep," 	225,900 "," 	216,000 "," 	9,900 ", 	4.4 
Richmond County,2022,Oct," 	227,100 "," 	216,100 "," 	11,000 ", 	4.8 
