county,beneficiaries,total_amount,month
NEW YORK,9400,15237000.0,0
NEW YORK,9200,13506000.0,1
NEW YORK,8500,13246000.0,2
NEW YORK,7900,15142000.0,3
NEW YORK,7300,13441000.0,4
NEW YORK,6900,12974000.0,5
NEW YORK,7600,16655000.0,6
NEW YORK,7500,14504000.0,7
NEW YORK,7900,14535000.0,8
NEW YORK,8400,14575000.0,9
NEW YORK,8500,13557000.0,10
NEW YORK,9600,16922000.0,11
NEW YORK,10200,16100000.0,12
NEW YORK,10200,15362000.0,13
NEW YORK,24500,27957000.0,14
NEW YORK,75300,119244000.0,15
NEW YORK,99100,166900000.0,16
NEW YORK,110000,221412000.0,17
NEW YORK,108500,176188000.0,18
NEW YORK,101200,165086000.0,19
NEW YORK,92500,130680000.0,20
NEW YORK,53000,63596000.0,21
NEW YORK,34600,47700000.0,22
NEW YORK,32700,40270000.0,23
NEW YORK,31400,35908000.0,24
NEW YORK,28800,34477000.0,25
NEW YORK,28500,38280000.0,26
NEW YORK,30400,34605000.0,27
NEW YORK,23300,30360000.0,28
NEW YORK,22900,34163000.0,29
NEW YORK,21100,26286000.0,30
NEW YORK,19700,28655000.0,31
NEW YORK,19200,21226000.0,32
NEW YORK,13600,16244000.0,33
NEW YORK,11900,16240000.0,34
NEW YORK,11100,14306000.0,35
NEW YORK,11900,16006000.0,36
NEW YORK,10300,13109000.0,37
NEW YORK,10200,13856000.0,38
NEW YORK,8800,11326000.0,39
NEW YORK,8600,13037000.0,40
NEW YORK,8700,12367000.0,41
NEW YORK,9500,12396000.0,42
NEW YORK,10300,16472000.0,43
NEW YORK,10000,13515000.0,44
NEW YORK,9400,14410000.0,45
NEW YORK,9800,14810000.0,46
NEW YORK,10500,14963000.0,47
NEW YORK,12300,18942000.0,48
NEW YORK,11900,16902000.0,49
NEW YORK,12600,19351000.0,50
NEW YORK,13200,18826000.0,51
NEW YORK,13800,24143000.0,52
NEW YORK,14100,22147000.0,53
NEW YORK,15900,26014000.0,54
NEW YORK,16900,28682000.0,55
NEW YORK,16700,24929000.0,56
NEW YORK,15900,27832000.0,57
NEW YORK,15100,23439000.0,58
NEW YORK,14500,21731000.0,59
NEW YORK,16100,26866000.0,60
NEW YORK,14900,22183000.0,61
