area,year,month,labor_force,unemployment_rate
New York  County,1,7,891300,11.7
New York  County,1,8,885600,11.2
New York  County,1,9,896000,10.2
New York  County,1,10,892800,9.7
New York  County,1,11,889600,9.2
New York  County,2,0,889200,9.8
New York  County,2,1,898400,9.5
New York  County,2,2,904300,8.7
New York  County,2,3,902800,8.4
New York  County,2,4,894700,7.8
New York  County,2,5,906300,8.3
New York  County,2,6,913200,8.1
New York  County,2,7,912200,7.7
New York  County,2,8,906800,6.7
New York  County,2,9,912900,6.4
New York  County,2,10,909900,5.9
New York  County,2,11,910000,5.8
New York  County,3,0,916500,6.1
New York  County,3,1,921300,5.7
New York  County,3,2,922400,5.0
New York  County,3,3,911800,4.5
New York  County,3,4,914800,4.4
New York  County,3,5,917000,4.5
New York  County,3,6,922900,4.4
New York  County,3,7,922300,4.2
New York  County,3,8,915000,3.8
New York  County,3,9,921300,4.1
New York  County,3,10,919800,4.1
New York  County,3,11,924400,4.1
New York  County,4,0,927200,4.6
New York  County,4,1,938400,4.8
New York  County,4,2,941100,4.5
New York  County,4,3,930700,4.1
New York  County,4,4,934500,4.4
New York  County,4,5,936800,4.7
New York  County,4,6,938300,4.7
New York  County,4,7,938300,4.9
New York  County,4,8,931200,4.6
New York  County,4,9,937500,4.9
New York  County,4,10,938000,4.4
New York  County,4,11,931700,4.5
