county,beneficiaries,total_amount,month
RICHMOND,2300,3793000.0,0
RICHMOND,2200,3545000.0,1
RICHMOND,2000,3236000.0,2
RICHMOND,1800,3594000.0,3
RICHMOND,1600,2942000.0,4
RICHMOND,1500,2736000.0,5
RICHMOND,1800,4305000.0,6
RICHMOND,1700,3929000.0,7
RICHMOND,1800,3401000.0,8
RICHMOND,1900,3064000.0,9
RICHMOND,1900,3004000.0,10
RICHMOND,2600,4353000.0,11
RICHMOND,2600,4119000.0,12
RICHMOND,2600,4076000.0,13
RICHMOND,6400,6795000.0,14
RICHMOND,25700,37518000.0,15
RICHMOND,32400,49088000.0,16
RICHMOND,33000,58736000.0,17
RICHMOND,30000,43299000.0,18
RICHMOND,27200,40875000.0,19
RICHMOND,24600,31643000.0,20
RICHMOND,13900,15111000.0,21
RICHMOND,9400,11936000.0,22
RICHMOND,10000,10634000.0,23
RICHMOND,10200,10296000.0,24
RICHMOND,10000,10583000.0,25
RICHMOND,9300,11179000.0,26
RICHMOND,10200,10175000.0,27
RICHMOND,7300,8878000.0,28
RICHMOND,7300,9859000.0,29
RICHMOND,7400,8522000.0,30
RICHMOND,7200,10056000.0,31
RICHMOND,7100,7304000.0,32
RICHMOND,4600,5355000.0,33
RICHMOND,4200,5565000.0,34
RICHMOND,3900,4723000.0,35
RICHMOND,4800,5931000.0,36
RICHMOND,4000,4706000.0,37
RICHMOND,3600,4639000.0,38
RICHMOND,3400,3772000.0,39
RICHMOND,2700,3870000.0,40
RICHMOND,2600,3586000.0,41
RICHMOND,3300,4146000.0,42
RICHMOND,3600,5594000.0,43
RICHMOND,3500,3902000.0,44
RICHMOND,2600,3686000.0,45
RICHMOND,2600,3588000.0,46
RICHMOND,2800,3604000.0,47
RICHMOND,3800,5047000.0,48
RICHMOND,3400,4261000.0,49
RICHMOND,3100,4405000.0,50
RICHMOND,3700,4285000.0,51
RICHMOND,2900,4790000.0,52
RICHMOND,3000,4181000.0,53
RICHMOND,4000,5962000.0,54
RICHMOND,4100,6180000.0,55
RICHMOND,4000,4991000.0,56
RICHMOND,3100,4930000.0,57
RICHMOND,3000,4188000.0,58
RICHMOND,3100,4067000.0,59
RICHMOND,4200,5668000.0,60
RICHMOND,3700,4632000.0,61
