primary_skill_name,skill_name,description,confidence,usage_count,last_updated,is_primary
interpersonal communication,interpersonal communication,"Advanced communication skills involving active listening, precise professional information exchange, understanding complex human dynamics, providing guidance, and facilitating comprehensive interaction across diverse professional environments with emphasis on supporting students and educational needs",1.0,250,,True
interpersonal communication,professional dialogue,"Advanced communication skills involving active listening, precise professional information exchange, understanding complex human dynamics, providing guidance, and facilitating comprehensive interaction across diverse professional environments with emphasis on supporting students and educational needs",1.0,250,,False
interpersonal communication,comprehensive communication,"Advanced communication skills involving active listening, precise professional information exchange, understanding complex human dynamics, providing guidance, and facilitating comprehensive interaction across diverse professional environments with emphasis on supporting students and educational needs",1.0,250,,False
operational coordination,operational coordination,"Advanced ability to manage complex organizational workflows, synchronize cross-functional activities, coordinate strategic responses, and ensure systematic operational efficiency across educational and support service environments",1.0,134,,True
operational coordination,workflow management,"Advanced ability to manage complex organizational workflows, synchronize cross-functional activities, coordinate strategic responses, and ensure systematic operational efficiency across educational and support service environments",1.0,134,,False
operational coordination,operational synchronization,"Advanced ability to manage complex organizational workflows, synchronize cross-functional activities, coordinate strategic responses, and ensure systematic operational efficiency across educational and support service environments",1.0,134,,False
critical problem solving,critical problem solving,"Advanced analytical skills for systematically identifying complex challenges, evaluating alternative solutions, applying logical reasoning, and implementing strategic problem-solving techniques across diverse technical and operational contexts",1.0,244,,True
critical problem solving,analytical reasoning,"Advanced analytical skills for systematically identifying complex challenges, evaluating alternative solutions, applying logical reasoning, and implementing strategic problem-solving techniques across diverse technical and operational contexts",1.0,244,,False
critical problem solving,technical challenge analysis,"Advanced analytical skills for systematically identifying complex challenges, evaluating alternative solutions, applying logical reasoning, and implementing strategic problem-solving techniques across diverse technical and operational contexts",1.0,244,,False
technical equipment maintenance,technical equipment maintenance,"Comprehensive ability to inspect, diagnose, repair, clean, and maintain complex mechanical, electrical, and technical equipment with emphasis on precise operational functionality, safety standards, and performance optimization in renewable energy and technical environments",1.0,82,,True
technical equipment maintenance,equipment diagnostic repair,"Comprehensive ability to inspect, diagnose, repair, clean, and maintain complex mechanical, electrical, and technical equipment with emphasis on precise operational functionality, safety standards, and performance optimization in renewable energy and technical environments",1.0,82,,False
technical equipment maintenance,technical system maintenance,"Comprehensive ability to inspect, diagnose, repair, clean, and maintain complex mechanical, electrical, and technical equipment with emphasis on precise operational functionality, safety standards, and performance optimization in renewable energy and technical environments",1.0,82,,False
operational safety and quality control,operational safety and quality control,"Comprehensive approach to ensuring workplace safety, conducting equipment inspections, monitoring operational performance, identifying potential hazards, and implementing preventive safety measures across technical, renewable energy, and industrial work environments",0.99,97,,True
operational safety and quality control,safety protocol management,"Comprehensive approach to ensuring workplace safety, conducting equipment inspections, monitoring operational performance, identifying potential hazards, and implementing preventive safety measures across technical, renewable energy, and industrial work environments",0.99,97,,False
precision manual manipulation,precision manual manipulation,"Advanced proficiency in using specialized hand tools to precisely position, prepare, cut, and manipulate materials and equipment with high technical accuracy across mechanical and technical work environments.",1.0,50,,True
precision manual manipulation,mechanical tool precision,"Advanced proficiency in using specialized hand tools to precisely position, prepare, cut, and manipulate materials and equipment with high technical accuracy across mechanical and technical work environments.",1.0,50,,False
precision manual manipulation,technical manual dexterity,"Advanced proficiency in using specialized hand tools to precisely position, prepare, cut, and manipulate materials and equipment with high technical accuracy across mechanical and technical work environments.",1.0,50,,False
precision manual manipulation,precision mechanical manipulation,"Advanced proficiency in using specialized hand tools to precisely position, prepare, cut, and manipulate materials and equipment with high technical accuracy across mechanical and technical work environments.",1.0,50,,False
emergency response management,emergency response management,"Advanced ability to effectively identify, assess, and respond to critical situations, emergencies, and unexpected challenges with calm, strategic decision-making, specifically adapted to maritime and transportation environments",0.97,2,,True
emergency response management,crisis management,"Advanced ability to effectively identify, assess, and respond to critical situations, emergencies, and unexpected challenges with calm, strategic decision-making, specifically adapted to maritime and transportation environments",0.97,2,,False
emergency response management,emergency intervention coordination,"Advanced ability to effectively identify, assess, and respond to critical situations, emergencies, and unexpected challenges with calm, strategic decision-making, specifically adapted to maritime and transportation environments",0.97,2,,False
transportation systems navigation,transportation systems navigation,"Comprehensive skill in planning, coordinating, and executing complex transportation operations across different environments and conditions",0.9,1,,True
transportation systems navigation,route planning,"Comprehensive skill in planning, coordinating, and executing complex transportation operations across different environments and conditions",0.9,1,,False
transportation systems navigation,transportation coordination,"Comprehensive skill in planning, coordinating, and executing complex transportation operations across different environments and conditions",0.9,1,,False
