geo_value,time_value,cases,cases_monthly_avg,deaths,deaths_monthly_avg,cases_per_100K,deaths_per_100K
11101,2020-08-08,3.0,,,,8.1,
11101,2020-08-15,10.0,,,,27.1,
11101,2020-08-22,10.0,,,,27.1,
11101,2020-08-29,15.0,10.0,,,40.7,
11101,2020-09-05,9.0,11.0,,,24.4,
11101,2020-09-12,6.0,10.0,,,16.3,
11101,2020-09-19,12.0,10.0,,,32.6,
11101,2020-09-26,20.0,12.0,,,54.3,
11101,2020-10-03,19.0,14.0,,,51.6,
11101,2020-10-10,17.0,17.0,,,46.1,
11101,2020-10-17,18.0,18.0,,,48.9,
11101,2020-10-24,19.0,18.0,,,51.6,
11101,2020-10-31,25.0,20.0,,,67.9,
11101,2020-11-07,39.0,25.0,,,105.9,
11101,2020-11-14,63.0,36.0,,,171.0,
11101,2020-11-21,45.0,43.0,,,122.2,
11101,2020-11-28,66.0,53.0,,,179.2,
11101,2020-12-05,101.0,69.0,,,274.2,
11101,2020-12-12,138.0,88.0,,,374.6,
11101,2020-12-19,114.0,105.0,,,309.5,
11101,2020-12-26,129.0,120.0,,,350.2,
11101,2021-01-02,130.0,128.0,,,352.9,
11101,2021-01-09,201.0,144.0,,,545.7,
11101,2021-01-16,151.0,153.0,,,409.9,
11101,2021-01-23,120.0,150.0,,,325.8,
11101,2021-01-30,142.0,154.0,,,385.5,
11101,2021-02-06,111.0,131.0,8.0,,301.3,21.7
11101,2021-02-13,109.0,120.0,8.0,,295.9,21.7
11101,2021-02-20,107.0,117.0,8.0,,290.5,21.7
11101,2021-02-27,109.0,109.0,8.0,,295.9,21.7
11101,2021-03-06,109.0,108.0,,,295.9,
11101,2021-03-13,126.0,113.0,,,342.1,
11101,2021-03-20,128.0,118.0,,,347.5,
11101,2021-03-27,125.0,122.0,,,339.4,
11101,2021-04-03,111.0,122.0,,,301.3,
11101,2021-04-10,93.0,114.0,,,252.5,
11101,2021-04-17,78.0,102.0,,,211.8,
11101,2021-04-24,46.0,82.0,,,124.9,
11101,2021-05-01,23.0,60.0,,,62.4,
11101,2021-05-08,23.0,42.0,,,62.4,
11101,2021-05-15,9.0,25.0,,,24.4,
11101,2021-05-22,3.0,14.0,,,8.1,
11101,2021-05-29,9.0,11.0,,,24.4,
11101,2021-06-05,4.0,6.0,,,10.9,
11101,2021-06-12,7.0,6.0,,,19.0,
11101,2021-06-19,6.0,6.0,,,16.3,
11101,2021-06-26,9.0,6.0,,,24.4,
11101,2021-07-03,19.0,10.0,,,51.6,
11101,2021-07-10,25.0,15.0,,,67.9,
11101,2021-07-17,27.0,20.0,,,73.3,
11101,2021-07-24,39.0,28.0,,,105.9,
11101,2021-07-31,35.0,32.0,,,95.0,
11101,2021-08-07,50.0,38.0,,,135.7,
11101,2021-08-14,65.0,47.0,,,176.5,
11101,2021-08-21,69.0,55.0,,,187.3,
11101,2021-08-28,59.0,61.0,,,160.2,
11101,2021-09-04,70.0,66.0,,,190.0,
11101,2021-09-11,71.0,67.0,,,192.8,
11101,2021-09-18,62.0,66.0,,,168.3,
11101,2021-09-25,51.0,64.0,,,138.4,
11101,2021-10-02,38.0,56.0,,,103.2,
11101,2021-10-09,46.0,49.0,,,124.9,
11101,2021-10-16,38.0,43.0,,,103.2,
11101,2021-10-23,28.0,38.0,,,76.0,
11101,2021-10-30,35.0,37.0,,,95.0,
11101,2021-11-06,50.0,38.0,,,135.7,
11101,2021-11-13,33.0,36.0,,,89.6,
11101,2021-11-20,68.0,46.0,,,184.6,
11101,2021-11-27,69.0,55.0,,,187.3,
11101,2021-12-04,93.0,66.0,,,252.5,
11101,2021-12-11,120.0,88.0,,,325.8,
11101,2021-12-18,651.0,233.0,,,1767.3,
11101,2021-12-25,1139.0,501.0,,,3092.1,
11101,2022-01-01,1531.0,860.0,14.0,,4156.3,38.0
11101,2022-01-08,1311.0,1158.0,14.0,,3559.1,38.0
11101,2022-01-15,629.0,1152.0,14.0,,1707.6,38.0
11101,2022-01-22,311.0,946.0,14.0,,844.3,38.0
11101,2022-01-29,127.0,594.0,14.0,,344.8,38.0
11101,2022-02-05,73.0,285.0,,,198.2,
11101,2022-02-12,58.0,142.0,,,157.5,
11101,2022-02-19,34.0,73.0,,,92.3,
11101,2022-02-26,32.0,49.0,,,86.9,
11101,2022-03-05,34.0,40.0,,,92.3,
11101,2022-03-12,38.0,34.0,,,103.2,
11101,2022-03-19,60.0,41.0,,,162.9,
11101,2022-03-26,90.0,56.0,,,244.3,
11101,2022-04-02,130.0,80.0,,,352.9,
11101,2022-04-09,138.0,104.0,,,374.6,
11101,2022-04-16,164.0,130.0,,,445.2,
11101,2022-04-23,150.0,146.0,,,407.2,
11101,2022-04-30,222.0,168.0,,,602.7,
11101,2022-05-07,273.0,202.0,,,741.1,
11101,2022-05-14,272.0,229.0,,,738.4,
11101,2022-05-21,249.0,254.0,,,676.0,
11101,2022-05-28,270.0,266.0,,,733.0,
11101,2022-06-04,195.0,246.0,,,529.4,
11101,2022-06-11,183.0,224.0,,,496.8,
11101,2022-06-18,160.0,202.0,,,434.4,
11101,2022-06-25,213.0,188.0,,,578.2,
11101,2022-07-02,225.0,195.0,,,610.8,
11101,2022-07-09,206.0,201.0,,,559.2,
11101,2022-07-16,218.0,216.0,,,591.8,
11101,2022-07-23,190.0,210.0,,,515.8,
11101,2022-07-30,158.0,193.0,,,428.9,
11101,2022-08-06,149.0,179.0,,,404.5,
11101,2022-08-13,134.0,158.0,,,363.8,
11101,2022-08-20,119.0,140.0,,,323.1,
11101,2022-08-27,94.0,124.0,,,255.2,
11101,2022-09-03,90.0,109.0,,,244.3,
11101,2022-09-10,82.0,96.0,,,222.6,
11101,2022-09-17,95.0,90.0,,,257.9,
11101,2022-09-24,87.0,88.0,,,236.2,
11101,2022-10-01,84.0,87.0,,,228.0,
11101,2022-10-08,86.0,88.0,,,233.5,
11101,2022-10-15,89.0,86.0,,,241.6,
10024,2020-08-08,4.0,,,,6.8,
10024,2020-08-15,14.0,,,,24.0,
10024,2020-08-22,5.0,,,,8.6,
10024,2020-08-29,3.0,6.0,,,5.1,
10024,2020-09-05,6.0,7.0,,,10.3,
10024,2020-09-12,6.0,5.0,,,10.3,
10024,2020-09-19,17.0,8.0,,,29.1,
10024,2020-09-26,18.0,12.0,,,30.8,
10024,2020-10-03,17.0,14.0,,,29.1,
10024,2020-10-10,10.0,16.0,,,17.1,
10024,2020-10-17,14.0,15.0,,,24.0,
10024,2020-10-24,20.0,15.0,,,34.2,
10024,2020-10-31,23.0,17.0,,,39.4,
10024,2020-11-07,51.0,27.0,,,87.3,
10024,2020-11-14,75.0,42.0,,,128.4,
10024,2020-11-21,84.0,58.0,,,143.8,
10024,2020-11-28,77.0,72.0,,,131.8,
10024,2020-12-05,87.0,81.0,,,148.9,
10024,2020-12-12,84.0,83.0,,,143.8,
10024,2020-12-19,115.0,91.0,,,196.9,
10024,2020-12-26,106.0,98.0,,,181.5,
10024,2021-01-02,112.0,104.0,5.0,,191.7,8.6
10024,2021-01-09,146.0,120.0,5.0,,249.9,8.6
10024,2021-01-16,138.0,126.0,5.0,,236.2,8.6
10024,2021-01-23,138.0,134.0,5.0,,236.2,8.6
10024,2021-01-30,129.0,138.0,5.0,,220.8,8.6
10024,2021-02-06,130.0,134.0,10.0,,222.6,17.1
10024,2021-02-13,113.0,128.0,10.0,,193.4,17.1
10024,2021-02-20,92.0,116.0,10.0,,157.5,17.1
10024,2021-02-27,92.0,107.0,10.0,,157.5,17.1
10024,2021-03-06,92.0,97.0,6.0,,157.5,10.3
10024,2021-03-13,109.0,96.0,6.0,,186.6,10.3
10024,2021-03-20,127.0,105.0,6.0,,217.4,10.3
10024,2021-03-27,97.0,106.0,6.0,,166.1,10.3
10024,2021-04-03,72.0,101.0,,,123.3,
10024,2021-04-10,83.0,95.0,,,142.1,
10024,2021-04-17,54.0,76.0,,,92.5,
10024,2021-04-24,25.0,58.0,,,42.8,
10024,2021-05-01,22.0,46.0,,,37.7,
10024,2021-05-08,12.0,28.0,,,20.5,
10024,2021-05-15,5.0,16.0,,,8.6,
10024,2021-05-22,9.0,12.0,,,15.4,
10024,2021-05-29,4.0,8.0,,,6.8,
10024,2021-06-05,3.0,5.0,,,5.1,
10024,2021-06-12,8.0,6.0,,,13.7,
10024,2021-06-19,6.0,5.0,,,10.3,
10024,2021-06-26,6.0,6.0,,,10.3,
10024,2021-07-03,9.0,7.0,,,15.4,
10024,2021-07-10,12.0,8.0,,,20.5,
10024,2021-07-17,21.0,12.0,,,36.0,
10024,2021-07-24,53.0,24.0,,,90.7,
10024,2021-07-31,39.0,31.0,,,66.8,
10024,2021-08-07,44.0,39.0,,,75.3,
10024,2021-08-14,52.0,47.0,,,89.0,
10024,2021-08-21,69.0,51.0,,,118.1,
10024,2021-08-28,59.0,56.0,,,101.0,
10024,2021-09-04,81.0,65.0,,,138.7,
10024,2021-09-11,73.0,70.0,,,125.0,
10024,2021-09-18,68.0,70.0,,,116.4,
10024,2021-09-25,69.0,73.0,,,118.1,
10024,2021-10-02,43.0,63.0,,,73.6,
10024,2021-10-09,50.0,58.0,,,85.6,
10024,2021-10-16,39.0,50.0,,,66.8,
10024,2021-10-23,22.0,38.0,,,37.7,
10024,2021-10-30,31.0,36.0,,,53.1,
10024,2021-11-06,49.0,35.0,,,83.9,
10024,2021-11-13,68.0,42.0,,,116.4,
10024,2021-11-20,77.0,56.0,,,131.8,
10024,2021-11-27,76.0,68.0,,,130.1,
10024,2021-12-04,98.0,80.0,,,167.8,
10024,2021-12-11,162.0,103.0,,,277.3,
10024,2021-12-18,715.0,263.0,,,1224.1,
10024,2021-12-25,1158.0,533.0,,,1982.5,
10024,2022-01-01,1066.0,775.0,11.0,,1825.0,18.8
10024,2022-01-08,1309.0,1062.0,11.0,,2241.0,18.8
10024,2022-01-15,449.0,996.0,11.0,,768.7,18.8
10024,2022-01-22,447.0,818.0,11.0,,765.2,18.8
10024,2022-01-29,210.0,604.0,11.0,,359.5,18.8
10024,2022-02-05,121.0,307.0,,,207.2,
10024,2022-02-12,75.0,213.0,,,128.4,
10024,2022-02-19,62.0,117.0,,,106.1,
10024,2022-02-26,56.0,78.0,,,95.9,
