date,epiweek,county_name,sample_neighborhood_in_county_name,county_level_retail_and_recreation_percent_change_from_baseline_daily,county_level_grocery_and_pharmacy_percent_change_from_baseline_daily,county_level_parks_percent_change_from_baseline_daily,county_level_transit_stations_percent_change_from_baseline_daily,county_level_workplaces_percent_change_from_baseline_daily,county_level_residential_percent_change_from_baseline_daily,neighborhood_level_hospitalizations_monthly,fips,region,sample_neighborhood_in_county_modzcta,sample_neighborhood_in_county_nta_id,epiweek_ending,county_level_retail_and_recreation_percent_change_from_baseline_epiweek_avg,county_level_grocery_and_pharmacy_percent_change_from_baseline_epiweek_avg,county_level_parks_percent_change_from_baseline_epiweek_avg,county_level_transit_stations_percent_change_from_baseline_epiweek_avg,county_level_workplaces_percent_change_from_baseline_epiweek_avg,county_level_residential_percent_change_from_baseline_epiweek_avg,neighborhood_level_hospitalizations_monthly_per_100K
2/8/20,202032,Queens County,Astoria,-29.0,-11.0,154.0,-49.0,-25.0,5.0,,US,NY,11101,QN0103,8-8-20,-24.3,-4.3,119.3,-48.7,-39.9,12.4,
3/8/20,202032,Queens County,Astoria,-21.0,0.0,119.0,-50.0,-45.0,14.0,,US,NY,11101,QN0103,8-8-20,-24.3,-4.3,119.3,-48.7,-39.9,12.4,
4/8/20,202032,Queens County,Astoria,-37.0,-17.0,41.0,-55.0,-51.0,20.0,,US,NY,11101,QN0103,8-8-20,-24.3,-4.3,119.3,-48.7,-39.9,12.4,
5/8/20,202032,Queens County,Astoria,-16.0,3.0,146.0,-47.0,-45.0,13.0,,US,NY,11101,QN0103,8-8-20,-24.3,-4.3,119.3,-48.7,-39.9,12.4,
6/8/20,202032,Queens County,Astoria,-18.0,1.0,125.0,-49.0,-46.0,14.0,,US,NY,11101,QN0103,8-8-20,-24.3,-4.3,119.3,-48.7,-39.9,12.4,
7/8/20,202032,Queens County,Astoria,-26.0,-5.0,56.0,-49.0,-45.0,16.0,,US,NY,11101,QN0103,8-8-20,-24.3,-4.3,119.3,-48.7,-39.9,12.4,
8/8/20,202032,Queens County,Astoria,-23.0,-1.0,194.0,-42.0,-22.0,5.0,,US,NY,11101,QN0103,8-8-20,-24.3,-4.3,119.3,-48.7,-39.9,12.4,
9/8/20,202033,Queens County,Astoria,-25.0,-9.0,224.0,-46.0,-24.0,4.0,,US,NY,11101,QN0103,15-8-20,-24.0,-3.7,138.4,-47.3,-39.1,11.6,
10/8/20,202033,Queens County,Astoria,-21.0,-4.0,129.0,-50.0,-45.0,14.0,,US,NY,11101,QN0103,15-8-20,-24.0,-3.7,138.4,-47.3,-39.1,11.6,
11/8/20,202033,Queens County,Astoria,-21.0,-1.0,135.0,-49.0,-46.0,14.0,,US,NY,11101,QN0103,15-8-20,-24.0,-3.7,138.4,-47.3,-39.1,11.6,
12/8/20,202033,Queens County,Astoria,-26.0,-5.0,77.0,-50.0,-46.0,15.0,,US,NY,11101,QN0103,15-8-20,-24.0,-3.7,138.4,-47.3,-39.1,11.6,
13/8/20,202033,Queens County,Astoria,-25.0,-2.0,71.0,-50.0,-46.0,16.0,,US,NY,11101,QN0103,15-8-20,-24.0,-3.7,138.4,-47.3,-39.1,11.6,
14/8/20,202033,Queens County,Astoria,-24.0,-1.0,115.0,-47.0,-44.0,14.0,,US,NY,11101,QN0103,15-8-20,-24.0,-3.7,138.4,-47.3,-39.1,11.6,
15/8/20,202033,Queens County,Astoria,-26.0,-4.0,218.0,-39.0,-23.0,4.0,,US,NY,11101,QN0103,15-8-20,-24.0,-3.7,138.4,-47.3,-39.1,11.6,
16/8/20,202034,Queens County,Astoria,-38.0,-19.0,27.0,-51.0,-29.0,7.0,,US,NY,11101,QN0103,22-8-20,-25.6,-4.9,120.4,-47.4,-39.1,11.4,
17/8/20,202034,Queens County,Astoria,-24.0,-5.0,112.0,-50.0,-45.0,14.0,,US,NY,11101,QN0103,22-8-20,-25.6,-4.9,120.4,-47.4,-39.1,11.4,
18/8/20,202034,Queens County,Astoria,-22.0,-1.0,140.0,-48.0,-44.0,14.0,,US,NY,11101,QN0103,22-8-20,-25.6,-4.9,120.4,-47.4,-39.1,11.4,
19/8/20,202034,Queens County,Astoria,-26.0,-5.0,83.0,-50.0,-45.0,15.0,,US,NY,11101,QN0103,22-8-20,-25.6,-4.9,120.4,-47.4,-39.1,11.4,
20/8/20,202034,Queens County,Astoria,-19.0,1.0,150.0,-48.0,-45.0,13.0,,US,NY,11101,QN0103,22-8-20,-25.6,-4.9,120.4,-47.4,-39.1,11.4,
21/8/20,202034,Queens County,Astoria,-24.0,-1.0,120.0,-46.0,-44.0,13.0,,US,NY,11101,QN0103,22-8-20,-25.6,-4.9,120.4,-47.4,-39.1,11.4,
22/8/20,202034,Queens County,Astoria,-26.0,-4.0,211.0,-39.0,-22.0,4.0,,US,NY,11101,QN0103,22-8-20,-25.6,-4.9,120.4,-47.4,-39.1,11.4,
23/8/20,202035,Queens County,Astoria,-27.0,-11.0,183.0,-45.0,-24.0,3.0,,US,NY,11101,QN0103,29-8-20,-24.4,-4.7,115.3,-46.9,-38.4,11.4,
24/8/20,202035,Queens County,Astoria,-24.0,-6.0,109.0,-50.0,-44.0,14.0,,US,NY,11101,QN0103,29-8-20,-24.4,-4.7,115.3,-46.9,-38.4,11.4,
25/8/20,202035,Queens County,Astoria,-23.0,-4.0,97.0,-48.0,-45.0,14.0,,US,NY,11101,QN0103,29-8-20,-24.4,-4.7,115.3,-46.9,-38.4,11.4,
26/8/20,202035,Queens County,Astoria,-19.0,1.0,137.0,-47.0,-44.0,13.0,,US,NY,11101,QN0103,29-8-20,-24.4,-4.7,115.3,-46.9,-38.4,11.4,
27/8/20,202035,Queens County,Astoria,-23.0,-4.0,90.0,-49.0,-45.0,15.0,,US,NY,11101,QN0103,29-8-20,-24.4,-4.7,115.3,-46.9,-38.4,11.4,
28/8/20,202035,Queens County,Astoria,-26.0,-4.0,92.0,-46.0,-43.0,14.0,,US,NY,11101,QN0103,29-8-20,-24.4,-4.7,115.3,-46.9,-38.4,11.4,
29/8/20,202035,Queens County,Astoria,-29.0,-5.0,99.0,-43.0,-24.0,7.0,,US,NY,11101,QN0103,29-8-20,-24.4,-4.7,115.3,-46.9,-38.4,11.4,
30/8/20,202036,Queens County,Astoria,-24.0,-9.0,231.0,-42.0,-23.0,2.0,,US,NY,11101,QN0103,5-9-20,-22.0,-2.3,130.6,-45.9,-38.0,10.3,
31/8/20,202036,Queens County,Astoria,-23.0,-5.0,102.0,-49.0,-44.0,13.0,,US,NY,11101,QN0103,5-9-20,-22.0,-2.3,130.6,-45.9,-38.0,10.3,
1/9/20,202036,Queens County,Astoria,-20.0,0.0,97.0,-48.0,-44.0,14.0,,US,NY,11101,QN0103,5-9-20,-22.0,-2.3,130.6,-45.9,-38.0,10.3,
2/9/20,202036,Queens County,Astoria,-22.0,-2.0,71.0,-49.0,-44.0,14.0,,US,NY,11101,QN0103,5-9-20,-22.0,-2.3,130.6,-45.9,-38.0,10.3,
3/9/20,202036,Queens County,Astoria,-20.0,0.0,97.0,-48.0,-44.0,14.0,,US,NY,11101,QN0103,5-9-20,-22.0,-2.3,130.6,-45.9,-38.0,10.3,
4/9/20,202036,Queens County,Astoria,-21.0,2.0,118.0,-45.0,-43.0,12.0,,US,NY,11101,QN0103,5-9-20,-22.0,-2.3,130.6,-45.9,-38.0,10.3,
5/9/20,202036,Queens County,Astoria,-24.0,-2.0,198.0,-40.0,-24.0,3.0,,US,NY,11101,QN0103,5-9-20,-22.0,-2.3,130.6,-45.9,-38.0,10.3,
6/9/20,202037,Queens County,Astoria,-26.0,-9.0,209.0,-46.0,-24.0,1.0,,US,NY,11101,QN0103,12-9-20,-23.1,-3.3,129.6,-47.4,-40.6,11.1,
7/9/20,202037,Queens County,Astoria,-27.0,-8.0,173.0,-60.0,-69.0,18.0,,US,NY,11101,QN0103,12-9-20,-23.1,-3.3,129.6,-47.4,-40.6,11.1,
8/9/20,202037,Queens County,Astoria,-21.0,-1.0,108.0,-47.0,-44.0,13.0,,US,NY,11101,QN0103,12-9-20,-23.1,-3.3,129.6,-47.4,-40.6,11.1,
9/9/20,202037,Queens County,Astoria,-21.0,1.0,92.0,-47.0,-43.0,13.0,,US,NY,11101,QN0103,12-9-20,-23.1,-3.3,129.6,-47.4,-40.6,11.1,
10/9/20,202037,Queens County,Astoria,-25.0,-4.0,41.0,-49.0,-45.0,16.0,,US,NY,11101,QN0103,12-9-20,-23.1,-3.3,129.6,-47.4,-40.6,11.1,
