county,beneficiaries,total_amount,month
BRONX,9600,14314000.0,0
BRONX,9400,13560000.0,1
BRONX,8800,13010000.0,2
BRONX,8200,14499000.0,3
BRONX,7200,11858000.0,4
BRONX,6800,11555000.0,5
BRONX,7800,16717000.0,6
BRONX,7800,15194000.0,7
BRONX,8200,14527000.0,8
BRONX,8500,12996000.0,9
BRONX,8800,12680000.0,10
BRONX,10700,17219000.0,11
BRONX,11200,15818000.0,12
BRONX,11400,15734000.0,13
BRONX,22800,25608000.0,14
BRONX,81600,117695000.0,15
BRONX,111700,171918000.0,16
BRONX,126200,241000000.0,17
BRONX,125300,187244000.0,18
BRONX,119300,185749000.0,19
BRONX,111500,145406000.0,20
BRONX,66600,72401000.0,21
BRONX,44600,56787000.0,22
BRONX,43900,45602000.0,23
BRONX,43500,43418000.0,24
BRONX,42300,43740000.0,25
BRONX,41500,49644000.0,26
BRONX,43700,45067000.0,27
BRONX,34600,41146000.0,28
BRONX,34600,46125000.0,29
BRONX,33500,36927000.0,30
BRONX,32000,41870000.0,31
BRONX,31000,30000000.0,32
BRONX,20800,22353000.0,33
BRONX,18100,22905000.0,34
BRONX,16400,19375000.0,35
BRONX,17800,21339000.0,36
BRONX,15400,17772000.0,37
BRONX,14600,17689000.0,38
BRONX,12900,14464000.0,39
BRONX,11100,15852000.0,40
BRONX,10700,14211000.0,41
BRONX,12900,15305000.0,42
BRONX,13800,20457000.0,43
BRONX,13400,15309000.0,44
BRONX,10900,15542000.0,45
BRONX,11100,15039000.0,46
BRONX,11700,15223000.0,47
BRONX,14700,19736000.0,48
BRONX,13700,16909000.0,49
BRONX,13200,18016000.0,50
BRONX,14100,16871000.0,51
BRONX,12900,20391000.0,52
BRONX,12800,17619000.0,53
BRONX,15800,22856000.0,54
BRONX,16100,23113000.0,55
BRONX,15900,19789000.0,56
BRONX,13500,21472000.0,57
BRONX,13100,17898000.0,58
BRONX,13100,17817000.0,59
BRONX,16100,22973000.0,60
BRONX,15200,19533000.0,61
