county,beneficiaries,total_amount,month
KINGS,14700,22790000.0,0
KINGS,14700,21095000.0,1
KINGS,13600,20418000.0,2
KINGS,12600,22896000.0,3
KINGS,11300,19486000.0,4
KINGS,10600,18721000.0,5
KINGS,11800,25712000.0,6
KINGS,11600,22582000.0,7
KINGS,12100,21945000.0,8
KINGS,12500,20473000.0,9
KINGS,12700,19357000.0,10
KINGS,15500,25548000.0,11
KINGS,16200,24139000.0,12
KINGS,16400,23521000.0,13
KINGS,39300,42314000.0,14
KINGS,145000,214016000.0,15
KINGS,194200,306694000.0,16
KINGS,210000,399744000.0,17
KINGS,205100,313411000.0,18
KINGS,189700,292659000.0,19
KINGS,172800,231821000.0,20
KINGS,101000,113007000.0,21
KINGS,66000,85951000.0,22
KINGS,63400,71562000.0,23
KINGS,64100,67479000.0,24
KINGS,60700,66662000.0,25
KINGS,58800,73471000.0,26
KINGS,59800,64864000.0,27
KINGS,47100,57269000.0,28
KINGS,46900,64414000.0,29
KINGS,45100,52290000.0,30
KINGS,42800,58082000.0,31
KINGS,41500,42062000.0,32
KINGS,28100,31472000.0,33
KINGS,24200,31600000.0,34
KINGS,22300,27117000.0,35
KINGS,24800,31147000.0,36
KINGS,21400,25279000.0,37
KINGS,20000,26182000.0,38
KINGS,18000,21633000.0,39
KINGS,15900,23617000.0,40
KINGS,15700,21675000.0,41
KINGS,18100,22736000.0,42
KINGS,19400,30013000.0,43
KINGS,19000,23460000.0,44
KINGS,16600,24484000.0,45
KINGS,16700,24232000.0,46
KINGS,17600,24698000.0,47
KINGS,21900,31517000.0,48
KINGS,20700,27912000.0,49
KINGS,20700,30746000.0,50
KINGS,22500,29866000.0,51
KINGS,21600,36359000.0,52
KINGS,21800,32721000.0,53
KINGS,26100,40772000.0,54
KINGS,27700,44503000.0,55
KINGS,27500,39127000.0,56
KINGS,24700,41997000.0,57
KINGS,23600,34987000.0,58
KINGS,22500,32771000.0,59
KINGS,26600,41663000.0,60
KINGS,24800,34854000.0,61
