county,beneficiaries,total_amount,month
QUEENS,11100,18167000.0,0
QUEENS,10900,16554000.0,1
QUEENS,10100,15970000.0,2
QUEENS,9100,17737000.0,3
QUEENS,8100,15001000.0,4
QUEENS,7700,14417000.0,5
QUEENS,8700,19270000.0,6
QUEENS,8600,16906000.0,7
QUEENS,9100,16739000.0,8
QUEENS,9400,16020000.0,9
QUEENS,9600,15218000.0,10
QUEENS,11900,20065000.0,11
QUEENS,12600,19316000.0,12
QUEENS,12500,18759000.0,13
QUEENS,34900,36314000.0,14
QUEENS,163500,239151000.0,15
QUEENS,209300,332503000.0,16
QUEENS,220400,416654000.0,17
QUEENS,206600,310562000.0,18
QUEENS,189800,288675000.0,19
QUEENS,172700,228871000.0,20
QUEENS,97900,101650000.0,21
QUEENS,61000,74563000.0,22
QUEENS,59400,63255000.0,23
QUEENS,60500,60192000.0,24
QUEENS,58000,59949000.0,25
QUEENS,56200,64876000.0,26
QUEENS,56500,58318000.0,27
QUEENS,46000,53364000.0,28
QUEENS,45400,60013000.0,29
QUEENS,42500,46502000.0,30
QUEENS,40300,51313000.0,31
QUEENS,38600,36619000.0,32
QUEENS,24800,26695000.0,33
QUEENS,21400,26778000.0,34
QUEENS,19400,22488000.0,35
QUEENS,21300,26035000.0,36
QUEENS,18600,21803000.0,37
QUEENS,17300,21764000.0,38
QUEENS,14800,17683000.0,39
QUEENS,12700,18711000.0,40
QUEENS,12100,16797000.0,41
QUEENS,13500,17070000.0,42
QUEENS,14100,21398000.0,43
QUEENS,13600,16936000.0,44
QUEENS,11900,17610000.0,45
QUEENS,12300,17809000.0,46
QUEENS,13200,18291000.0,47
QUEENS,16700,23617000.0,48
QUEENS,15700,21169000.0,49
QUEENS,15700,22982000.0,50
QUEENS,16600,21836000.0,51
QUEENS,15700,26504000.0,52
QUEENS,15700,23274000.0,53
QUEENS,18300,28355000.0,54
QUEENS,19000,29915000.0,55
QUEENS,18800,26050000.0,56
QUEENS,17000,28539000.0,57
QUEENS,16500,24498000.0,58
QUEENS,16100,23299000.0,59
QUEENS,19500,30544000.0,60
QUEENS,18500,25955000.0,61
