,,,,,,,,,,,,
,Tract Code,Tract Population,Tract Minority %,Number of Families,# of House- holds,Non-Hisp White Population,Tract Minority Population,American Indian Pop- ulation,Asian/ Hawaiian/ Pacific Islander Population,Black Pop- ulation,Hispanic Population,Other Population/ Two or More Races
,101.01,2026,52.47,344,1233,963,1063,3,671,69,197,123
,101.02,2000,63.80,530,909,724,1276,1,792,173,200,110
,102.01,2468,25.12,479,1321,1848,620,0,268,21,190,141
,102.02,2074,30.81,451,1064,1435,639,0,354,26,135,124
,103.00,4062,38.60,966,2151,2494,1568,0,1032,45,263,228
,104.01,2214,43.13,476,1116,1259,955,1,650,14,166,124
,104.02,2293,35.76,379,1251,1473,820,3,463,15,189,150
,105.00,3234,52.72,731,1772,1529,1705,5,1211,93,237,159
,106.00,3718,61.94,667,1799,1415,2303,0,1738,69,332,164
,107.01,3721,93.34,1130,1840,248,3473,4,3195,95,124,55
,107.02,1626,60.09,357,707,649,977,0,772,16,135,54
,108.00,4573,51.04,927,2548,2239,2334,0,1814,44,265,211
,109.01,2338,32.68,432,1050,1574,764,2,418,18,168,158
,109.02,2332,42.07,308,1282,1351,981,2,618,38,204,119
,110.01,3079,53.07,468,1499,1445,1634,4,1181,50,241,158
,110.02,2363,53.62,466,1234,1096,1267,1,915,46,164,141
,111.01,3143,51.89,339,1676,1512,1631,3,1089,62,300,177
,111.02,2504,56.87,310,1438,1080,1424,10,877,107,259,171
,112.00,3441,43.80,575,1808,1934,1507,2,1049,44,252,160
,113.00,3068,83.15,509,1480,517,2551,2,2306,48,114,81
,117.00,1905,65.62,369,993,655,1250,3,778,136,232,101
,118.00,1589,90.94,344,744,144,1445,4,1338,10,58,35
,119.01,2275,48.48,366,1316,1172,1103,8,675,79,220,121
,119.02,2738,50.33,515,1648,1360,1378,6,755,73,373,171
,120.01,2002,57.39,210,1311,853,1149,2,554,86,372,135
,120.02,2267,62.02,308,1243,861,1406,13,802,91,374,126
,121.00,3455,57.34,325,2237,1474,1981,25,1016,208,518,214
,122.02,2490,69.48,283,1556,760,1730,12,709,266,612,131
,122.03,1931,69.39,288,1119,591,1340,3,489,166,570,112
,122.04,2570,64.05,326,1676,924,1646,9,625,121,768,123
,123.01,3088,71.47,200,1284,881,2207,47,842,424,752,142
,123.02,2875,63.76,340,1934,1042,1833,12,1021,224,414,162
,124.03,2157,76.87,387,1238,499,1658,7,771,157,611,112
,124.04,3849,78.98,248,1566,809,3040,18,627,460,1770,165
,124.05,4152,58.29,357,2251,1732,2420,13,1137,334,718,218
,124.06,1936,74.12,176,1032,501,1435,5,638,175,520,97
,125.02,4482,80.30,574,2285,883,3599,51,1775,677,902,194
,125.03,4260,72.91,684,1640,1154,3106,20,1157,614,1052,263
,125.04,2277,64.65,122,501,805,1472,56,425,477,419,95
,126.01,2577,25.46,413,1397,1921,656,2,251,20,234,149
,126.02,3058,24.59,526,1488,2306,752,2,304,25,243,178
,127.00,3769,23.83,745,2150,2871,898,6,377,17,269,229
,128.01,2742,26.22,592,1244,2023,719,7,270,36,222,184
,128.02,1901,23.78,246,902,1449,452,0,218,22,117,95
,129.01,2853,28.53,509,1471,2039,814,4,428,33,208,141
,129.02,3667,29.29,526,1894,2593,1074,13,504,48,302,207
,130.01,2405,27.03,309,1025,1755,650,4,300,30,186,130
,130.02,2144,26.21,328,1261,1582,562,0,275,13,122,152
,131.01,4197,34.29,690,2273,2758,1439,4,776,54,337,268
,131.02,2938,31.96,627,1581,1999,939,2,455,38,261,183
,132.00,4464,25.72,914,2301,3316,1148,2,545,54,299,248
,133.00,4344,26.82,1132,1993,3179,1165,0,542,53,288,282
,134.01,1623,30.25,271,839,1132,491,0,221,29,119,122
,134.02,2253,29.96,396,1091,1578,675,0,326,32,159,158
,135.00,2912,34.51,399,1656,1907,1005,4,471,65,231,234
,151.00,3104,47.97,509,1631,1615,1489,2,980,80,255,172
,152.01,1888,45.50,275,1126,1029,859,3,506,81,179,90
,152.02,2286,41.60,213,1018,1335,951,5,548,71,178,149
,153.00,2387,36.78,297,975,1509,878,3,360,115,210,190
,154.01,3659,44.55,554,1822,2029,1630,8,945,107,305,265
,154.02,2541,35.38,648,1239,1642,899,3,446,44,225,181
,155.00,3899,58.91,479,2312,1602,2297,2,1356,307,379,253
,156.00,3274,51.86,619,1495,1576,1698,0,1000,71,339,288
,157.01,4882,60.63,495,1131,1922,2960,4,1427,279,755,495
,157.02,3220,44.50,622,1359,1787,1433,5,733,137,281,277
,158.01,3869,62.03,692,1483,1469,2400,7,878,785,454,276
,158.02,3116,39.15,415,1744,1896,1220,7,413,241,315,244
,159.00,4630,67.71,868,2179,1495,3135,14,1902,445,464,310
,160.00,2969,59.21,406,1857,1211,1758,13,996,201,365,183
,161.01,2780,60.97,418,1721,1085,1695,7,760,601,179,148
,161.02,2880,93.02,526,1104,201,2679,6,890,1231,384,168
,162.00,3672,51.85,647,1823,1768,1904,11,948,254,465,226
,163.00,4296,52.56,825,2102,2038,2258,0,762,679,496,321
,164.00,3920,40.79,530,1653,2321,1599,12,551,266,498,272
,165.00,5171,40.28,893,2313,3088,2083,7,730,296,600,450
,166.01,3133,35.97,479,1417,2006,1127,2,420,104,336,265
,166.02,2350,35.57,460,1034,1514,836,5,285,63,294,189
,167.00,4835,34.15,765,2418,3184,1651,5,597,180,530,339
,168.01,4282,45.59,523,1967,2330,1952,4,770,296,592,290
,168.02,3928,50.92,442,2032,1928,2000,20,749,324,594,313
,169.00,3425,35.74,422,1571,2201,1224,2,475,102,385,260
,170.00,4088,30.75,891,2195,2831,1257,8,498,75,389,287
,171.01,3766,28.31,725,1747,2700,1066,0,362,80,340,284
,171.02,3798,30.41,724,1603,2643,1155,3,366,121,344,321
,176.02,3649,73.42,611,1758,970,2679,25,1382,529,581,162
,176.03,5518,68.54,822,2403,1736,3782,24,2093,416,912,337
,176.04,4008,68.34,290,1828,1269,2739,24,1357,485,685,188
,177.00,2841,63.43,319,761,1039,1802,9,590,247,763,193
,178.01,3567,75.72,947,2471,866,2701,2,2256,139,174,130
,178.03,2254,64.06,511,968,810,1444,13,699,208,389,135
,178.04,4752,65.32,590,1974,1648,3104,14,1752,396,675,267
,179.03,2747,72.26,378,646,762,1985,25,569,441,746,204
,180.00,4758,64.96,495,1386,1667,3091,15,1434,662,660,320
,201.01,3841,67.07,476,1625,1265,2576,26,864,264,1212,210
,201.02,3081,73.94,340,1445,803,2278,24,568,299,1230,157
,202.01,2494,58.38,216,1177,1038,1456,4,520,122,656,154
,202.02,3914,57.00,895,2111,1683,2231,12,877,227,879,236
,203.00,3624,41.36,446,2130,2125,1499,7,677,71,511,233
,204.01,3235,33.72,488,1557,2144,1091,5,497,40,318,231
,204.02,4547,41.04,895,2455,2681,1866,9,791,130,590,346
,205.00,2663,32.52,552,1295,1797,866,0,352,43,271,200
,206.01,2906,35.75,441,1454,1867,1039,7,397,64,346,225
,206.02,2272,30.41,574,1289,1581,691,0,297,35,209,150
,207.01,2987,38.80,443,1329,1828,1159,2,375,72,472,238
,207.02,2520,45.63,483,1132,1370,1150,1,453,48,439,209
,208.01,3618,66.36,466,1509,1217,2401,19,630,82,1484,186
,208.02,3143,70.41,307,1175,930,2213,10,502,63,1494,144
,209.00,4296,66.41,782,1754,1443,2853,3,648,99,1830,273
,210.00,4213,42.94,734,1943,2404,1809,0,644,76,810,279
,211.00,4111,32.18,844,1943,2788,1323,5,555,58,405,300
,212.00,3015,32.47,743,1477,2036,979,4,400,31,269,275
,213.00,2652,34.46,572,1210,1738,914,2,377,26,235,274
,214.00,3404,32.67,707,1737,2292,1112,1,455,38,391,227
,215.00,5237,41.42,1179,2365,3068,2169,5,794,66,851,453
