,,,,,,,,,,,
Tract Code,Tract Income Level,"Distressed or Under 
-served Tract",Tract Median Family Income %,2023 FFIEC Est. MSA/MD non-MSA/MD Median Family Income,2023 Est. Tract Median Family Income,2020 Tract Median Family Income,Tract Population,Tract Minority %,Minority Population,Owner Occupied Units,1- to 4- Family Units
101.01,Moderate,No,50.57,"$ 1,73,200","$ 87,587","$ 72,583",2026,52.47,1063,75,262
101.02,Low,No,19.80,"$ 1,73,200","$ 34,294","$ 28,425",2000,63.80,1276,110,236
102.01,Upper,No,129.76,"$ 1,73,200","$ 2,24,744","$ 1,86,250",2468,25.12,620,438,432
102.02,Upper,No,137.34,"$ 1,73,200","$ 2,37,873","$ 1,97,122",2074,30.81,639,397,536
103.00,Middle,No,114.84,"$ 1,73,200","$ 1,98,903","$ 1,64,828",4062,38.60,1568,436,1476
104.01,Middle,No,118.33,"$ 1,73,200","$ 2,04,948","$ 1,69,844",2214,43.13,955,403,792
104.02,Upper,No,166.99,"$ 1,73,200","$ 2,89,227","$ 2,39,688",2293,35.76,820,349,652
105.00,Upper,No,131.09,"$ 1,73,200","$ 2,27,048","$ 1,88,155",3234,52.72,1705,416,113
106.00,Low,No,49.02,"$ 1,73,200","$ 84,903","$ 70,365",3718,61.94,2303,132,512
107.01,Low,No,18.11,"$ 1,73,200","$ 31,367","$ 25,994",3721,93.34,3473,42,211
107.02,Unknown,No,0.00,"$ 1,73,200",$ 0,$ 0,1626,60.09,977,108,316
108.00,Upper,No,156.88,"$ 1,73,200","$ 2,71,716","$ 2,25,176",4573,51.04,2334,638,1258
109.01,Upper,No,170.05,"$ 1,73,200","$ 2,94,527","$ 2,44,077",2338,32.68,764,302,672
109.02,Middle,No,95.94,"$ 1,73,200","$ 1,66,168","$ 1,37,708",2332,42.07,981,142,340
110.01,Unknown,No,0.00,"$ 1,73,200",$ 0,$ 0,3079,53.07,1634,340,214
110.02,Unknown,No,0.00,"$ 1,73,200",$ 0,$ 0,2363,53.62,1267,351,300
111.01,Upper,No,131.78,"$ 1,73,200","$ 2,28,243","$ 1,89,150",3143,51.89,1631,130,190
111.02,Moderate,No,65.22,"$ 1,73,200","$ 1,12,961","$ 93,611",2504,56.87,1424,62,139
112.00,Upper,No,139.96,"$ 1,73,200","$ 2,42,411","$ 2,00,893",3441,43.80,1507,483,373
113.00,Low,No,42.76,"$ 1,73,200","$ 74,060","$ 61,375",3068,83.15,2551,148,302
117.00,Unknown,No,0.00,"$ 1,73,200",$ 0,$ 0,1905,65.62,1250,76,21
118.00,Low,No,25.93,"$ 1,73,200","$ 44,911","$ 37,217",1589,90.94,1445,7,176
119.01,Middle,No,95.14,"$ 1,73,200","$ 1,64,782","$ 1,36,563",2275,48.48,1103,353,86
119.02,Moderate,No,71.88,"$ 1,73,200","$ 1,24,496","$ 1,03,179",2738,50.33,1378,120,47
120.01,Unknown,No,0.00,"$ 1,73,200",$ 0,$ 0,2002,57.39,1149,48,52
120.02,Moderate,No,79.15,"$ 1,73,200","$ 1,37,088","$ 1,13,603",2267,62.02,1406,156,148
121.00,Middle,No,115.02,"$ 1,73,200","$ 1,99,215","$ 1,65,089",3455,57.34,1981,182,110
122.02,Unknown,No,0.00,"$ 1,73,200",$ 0,$ 0,2490,69.48,1730,223,81
122.03,Low,No,9.81,"$ 1,73,200","$ 16,991","$ 14,093",1931,69.39,1340,0,82
