NTA2020,min_lon,min_lat,max_lon,max_lat
BK0101,-73.96234062260191,40.71845553312282,-73.93213397515774,40.73912795313439
BK0102,-73.97009902629419,40.705473246654606,-73.9472134181074,40.72532050081114
BK0103,-73.96838331404915,40.698038668339876,-73.9419307888223,40.70842717347034
BK0104,-73.95348472164814,40.700725234695845,-73.92074853115804,40.72815960343371
BK0201,-74.00174362045013,40.68913674461328,-73.98893356311615,40.703131839799596
BK0202,-73.99504592748315,40.682491269710724,-73.97804289613393,40.70596696359166
BK0203,-73.98350982108113,40.682005257597154,-73.96283963716343,40.69824651225209
BK0204,-73.97013154197,40.68046352430096,-73.95884062019911,40.69832607881891
BK0261,-73.98090402877473,40.69763578048868,-73.96217978089145,40.70908288380681
BK0301,-73.9616708638935,40.67823695930484,-73.94032793962053,40.700424523782615
BK0302,-73.9443878859649,40.67701839046184,-73.91630119795475,40.700725234695845
BK0401,-73.9419307888223,40.69276117843611,-73.91142242591266,40.70939609671084
BK0402,-73.92778194248555,40.67922059801919,-73.9013984066204,40.7014865885188
BK0471,-73.9057554806487,40.679422791514035,-73.89652644236399,40.69107772007329
BK0501,-73.90404639808888,40.67562473595062,-73.86630263853499,40.69118395823938
BK0502,-73.90347422276484,40.665345895025595,-73.87423134628987,40.680167001828856
BK0503,-73.90944846379332,40.6466285675766,-73.8671806951295,40.67086239758476
BK0504,-73.89125147240465,40.638871613745145,-73.86054077882481,40.66045225204139
BK0505,-73.87744804661797,40.65507780573646,-73.85568461221035,40.683186694603
BK0571,-73.8896278757877,40.68255594629342,-73.86805885286068,40.69514656151405
BK0601,-74.01995197864677,40.66456833629166,-73.97961680085257,40.692549071104125
BK0602,-73.99173365211004,40.66115465898047,-73.96871387941434,40.68485661514016
BK0701,-73.99277080658334,40.647297161431275,-73.97139631688175,40.66673659544212
BK0702,-74.03254173795645,40.63812141809166,-73.98725068910566,40.67192594185834
BK0703,-74.0210873117535,40.63210999547639,-73.99604565374648,40.6529493144541
BK0771,-74.00216556058973,40.644119241039284,-73.980291154772,40.659669522044105
BK0801,-73.9761805135232,40.67135677147247,-73.96007345890285,40.68304940863982
BK0802,-73.96318238790317,40.66644500038628,-73.9218153903159,40.68046352430096
BK0891,-73.92872204594605,40.6644955696853,-73.9242446720856,40.66864719469075
BK0901,-73.96257123150735,40.66284748566933,-73.92834967165896,40.67162224488755
BK0902,-73.96308285552554,40.65483921522858,-73.9309035486628,40.664302632819464
BK1001,-74.04189660705046,40.609295639002106,-74.01514630680121,40.64431393296395
BK1002,-74.02287598743487,40.61273502918756,-73.9972406703973,40.635911128329404
BK1061,-74.0360397771197,40.60287157834799,-74.01871382223196,40.61632930024987
BK1091,-74.02477732246024,40.603582075907404,-74.01171201555734,40.618471985279264
BK1101,-74.01050403587416,40.60023222172231,-73.9740309776933,40.62682605141277
BK1102,-74.0194276088975,40.59405960603468,-73.99559320762654,40.61389661199509
BK1103,-74.00203773022696,40.588399282903254,-73.97148350788788,40.60881414180241
BK1201,-74.00955708371879,40.63308317691686,-73.98905872459589,40.648340654929
BK1202,-74.00702302486354,40.622788953343075,-73.97604935657381,40.644562243887364
BK1203,-73.9883498673701,40.63127590564681,-73.96803868487798,40.64825778561152
BK1204,-73.99009356051286,40.608702310158854,-73.96285974027406,40.62954270682611
BK1301,-74.00048912067852,40.582906593171636,-73.96025825836561,40.59444604946169
BK1302,-74.0130271545442,40.56952999398417,-73.95939182247403,40.58464459226519
BK1303,-73.96888995877943,40.57343065522938,-73.952397830766,40.585029307841424
BK1391,-74.00043685423967,40.58066167003407,-73.98829948294923,40.5881063213925
BK1401,-73.96621321959275,40.62811987905431,-73.94415535255825,40.65563478943934
BK1402,-73.97716511994669,40.62597635073027,-73.95684697346559,40.65153206524349
BK1403,-73.966081912939,40.60998637452585,-73.94451833304542,40.630162531078874
BK1501,-73.9807101319401,40.58730628607395,-73.95607720418357,40.61254948646727
BK1502,-73.95859278429819,40.59661207631134,-73.9342626672588,40.616046209109406
BK1503,-73.96034953585209,40.57424704924274,-73.91805568585306,40.602687281327505
BK1601,-73.92275257220436,40.667097332962115,-73.90004626208514,40.687213247770956
BK1602,-73.92439099384752,40.65209593779454,-73.89880698499505,40.675506683277185
BK1701,-73.95870789888956,40.638417899406946,-73.94189204362668,40.656260231082676
BK1702,-73.94841343365718,40.63177743031226,-73.92538233100771,40.647114703218726
BK1703,-73.94282541788823,40.63992322166845,-73.91973737048124,40.66362047627024
BK1704,-73.93068465493135,40.64470763073447,-73.90855790522765,40.66638142327786
BK1771,-73.94352958026107,40.64466186238341,-73.93261418271317,40.64957194121663
BK1801,-73.94732672226544,40.613192155675634,-73.91690302671152,40.642778148345606
BK1802,-73.94482770996294,40.603505476100715,-73.898100736215,40.632068328253304
BK1803,-73.9199506296699,40.625231418853446,-73.88076685498288,40.65520271408368
BK1891,-73.93972613932716,40.576751182785266,-73.88769395836898,40.60951486891698
BK1892,-73.90418982390513,40.6052966901829,-73.8896963184647,40.62185156162381
BK1893,-73.90146161168386,40.622470570229204,-73.87714434868597,40.639581647653465
BK5591,-73.98022902594695,40.64825778561152,-73.96095595387625,40.67294318899906
BK5691,-73.91852760833387,40.578063238844635,-73.87671672482074,40.606209252342204
BK5692,-73.87978252071173,40.581663409428856,-73.8335592388046,40.63873171175711
BK5693,-73.87835076562651,40.63628554630141,-73.85716978298213,40.6546239966105
BX0101,-73.93287412001965,40.7966237698883,-73.9021918570049,40.81855963432461
BX0102,-73.92662718211719,40.81228196041572,-73.90129277627032,40.824387087373225
BX0201,-73.90308946530327,40.800853302771884,-73.8681121914008,40.82295136949845
BX0202,-73.90446551410517,40.80985639970229,-73.88609624167161,40.82824854138496
BX0291,-73.90842190767937,40.7956358728536,-73.89646668834571,40.804176887939384
BX0301,-73.91677400519708,40.82047544261421,-73.89548522764592,40.835499911237406
