Revised 2019-2023 Labor Force Data,,,,,,
,,,Labor Force,Employed,Unemployed,Unemployment
Area,Year,Month,,,,Rate (%)
Bronx County,2023,Jan," 	607,200 "," 	561,500 "," 	45,700 ", 	7.5 
Bronx County,2023,Feb," 	612,800 "," 	566,900 "," 	45,900 ", 	7.5 
Bronx County,2023,Mar," 	612,500 "," 	570,300 "," 	42,200 ", 	6.9 
Bronx County,2023,Apr," 	605,600 "," 	567,100 "," 	38,400 ", 	6.3 
Bronx County,2023,May," 	607,400 "," 	567,900 "," 	39,500 ", 	6.5 
Bronx County,2023,Jun," 	608,600 "," 	566,800 "," 	41,800 ", 	6.9 
Bronx County,2023,Jul," 	610,000 "," 	568,100 "," 	41,900 ", 	6.9 
Bronx County,2023,Aug," 	609,900 "," 	566,400 "," 	43,500 ", 	7.1 
Bronx County,2023,Sep," 	602,600 "," 	563,800 "," 	38,800 ", 	6.4 
Bronx County,2023,Oct," 	607,500 "," 	565,700 "," 	41,900 ", 	6.9 
Bronx County,2023,Nov," 	606,700 "," 	568,400 "," 	38,300 ", 	6.3 
Bronx County,2023,Dec," 	604,000 "," 	564,000 "," 	40,000 ", 	6.6 
Bronx County,2023,Avg," 	607,900 "," 	566,408 "," 	41,492 ", 	6.8 
,,,,,,
Bronx County,2022,Jan," 	612,200 "," 	546,100 "," 	66,100 ", 	10.8 
Bronx County,2022,Feb," 	612,400 "," 	551,600 "," 	60,800 ", 	9.9 
Bronx County,2022,Mar," 	607,800 "," 	555,000 "," 	52,800 ", 	8.7 
Bronx County,2022,Apr," 	600,700 "," 	552,800 "," 	47,900 ", 	8.0 
Bronx County,2022,May," 	599,000 "," 	554,700 "," 	44,300 ", 	7.4 
Bronx County,2022,Jun," 	599,300 "," 	555,400 "," 	44,000 ", 	7.3 
Bronx County,2022,Jul," 	604,900 "," 	560,300 "," 	44,600 ", 	7.4 
Bronx County,2022,Aug," 	604,300 "," 	561,300 "," 	42,900 ", 	7.1 
Bronx County,2022,Sep," 	596,300 "," 	559,800 "," 	36,500 ", 	6.1 
Bronx County,2022,Oct," 	601,800 "," 	560,600 "," 	41,200 ", 	6.8 
Bronx County,2022,Nov," 	601,500 "," 	559,700 "," 	41,800 ", 	7.0 
Bronx County,2022,Dec," 	604,100 "," 	562,400 "," 	41,700 ", 	6.9 
Bronx County,2022,Avg," 	603,692 "," 	556,642 "," 	47,050 ", 	7.8 
,,,,,,
Bronx County,2021,Jan," 	616,000 "," 	509,700 "," 	106,300 ", 	17.3 
Bronx County,2021,Feb," 	619,000 "," 	516,100 "," 	102,900 ", 	16.6 
Bronx County,2021,Mar," 	618,500 "," 	522,700 "," 	95,900 ", 	15.5 
Bronx County,2021,Apr," 	618,100 "," 	524,200 "," 	93,900 ", 	15.2 
Bronx County,2021,May," 	607,700 "," 	522,400 "," 	85,300 ", 	14.0 
Bronx County,2021,Jun," 	616,500 "," 	526,400 "," 	90,000 ", 	14.6 
Bronx County,2021,Jul," 	620,400 "," 	532,600 "," 	87,700 ", 	14.1 
Bronx County,2021,Aug," 	618,400 "," 	534,400 "," 	84,000 ", 	13.6 
Bronx County,2021,Sep," 	609,300 "," 	537,000 "," 	72,300 ", 	11.9 
Bronx County,2021,Oct," 	611,200 "," 	542,500 "," 	68,800 ", 	11.3 
Bronx County,2021,Nov," 	608,000 "," 	543,800 "," 	64,200 ", 	10.6 
Bronx County,2021,Dec," 	607,100 "," 	544,400 "," 	62,700 ", 	10.3 
Bronx County,2021,Avg," 	614,183 "," 	529,683 "," 	84,500 ", 	13.8 
,,,,,,
Bronx County,2020,Jan," 	627,300 "," 	591,900 "," 	35,300 ", 	5.6 
Bronx County,2020,Feb," 	632,200 "," 	596,200 "," 	36,100 ", 	5.7 
Bronx County,2020,Mar," 	630,400 "," 	585,300 "," 	45,100 ", 	7.2 
Bronx County,2020,Apr," 	549,200 "," 	468,000 "," 	81,200 ", 	14.8 
Bronx County,2020,May," 	593,400 "," 	438,100 "," 	155,300 ", 	26.2 
Bronx County,2020,Jun," 	614,000 "," 	482,800 "," 	131,200 ", 	21.4 
Bronx County,2020,Jul," 	624,900 "," 	487,300 "," 	137,600 ", 	22.0 
Bronx County,2020,Aug," 	622,300 "," 	499,400 "," 	122,900 ", 	19.8 
Bronx County,2020,Sep," 	620,300 "," 	499,800 "," 	120,500 ", 	19.4 
Bronx County,2020,Oct," 	618,900 "," 	510,900 "," 	108,000 ", 	17.5 
Bronx County,2020,Nov," 	615,400 "," 	512,600 "," 	102,800 ", 	16.7 
Bronx County,2020,Dec," 	612,600 "," 	513,300 "," 	99,400 ", 	16.2 
Bronx County,2020,Avg," 	613,408 "," 	515,467 "," 	97,950 ", 	16.0 
,,,,,,
Bronx County,2019,Jan," 	627,100 "," 	586,300 "," 	40,800 ", 	6.5 
Bronx County,2019,Feb," 	630,200 "," 	592,400 "," 	37,800 ", 	6.0 
Bronx County,2019,Mar," 	628,800 "," 	594,200 "," 	34,600 ", 	5.5 
Bronx County,2019,Apr," 	622,600 "," 	592,200 "," 	30,300 ", 	4.9 
