Revised 2019-2023 Labor Force Data,,,,,,
,,,Labor Force,Employed,Unemployed,Unemployment
Area,Year,Month,,,,Rate (%)
New York  County,2023,Jan," 	927,200 "," 	884,800 "," 	42,400 ", 	4.6 
New York  County,2023,Feb," 	938,400 "," 	893,400 "," 	45,000 ", 	4.8 
New York  County,2023,Mar," 	941,100 "," 	899,000 "," 	42,200 ", 	4.5 
New York  County,2023,Apr," 	930,700 "," 	892,500 "," 	38,200 ", 	4.1 
New York  County,2023,May," 	934,500 "," 	893,600 "," 	40,900 ", 	4.4 
New York  County,2023,Jun," 	936,800 "," 	892,600 "," 	44,200 ", 	4.7 
New York  County,2023,Jul," 	938,300 "," 	894,200 "," 	44,200 ", 	4.7 
New York  County,2023,Aug," 	938,300 "," 	891,900 "," 	46,400 ", 	4.9 
New York  County,2023,Sep," 	931,200 "," 	888,000 "," 	43,200 ", 	4.6 
New York  County,2023,Oct," 	937,500 "," 	892,000 "," 	45,500 ", 	4.9 
New York  County,2023,Nov," 	938,000 "," 	896,400 "," 	41,600 ", 	4.4 
New York  County,2023,Dec," 	931,700 "," 	889,700 "," 	42,000 ", 	4.5 
New York  County,2023,Avg," 	935,308 "," 	892,342 "," 	42,983 ", 	4.6 
,,,,,,
New York  County,2022,Jan," 	916,500 "," 	860,200 "," 	56,300 ", 	6.1 
New York  County,2022,Feb," 	921,300 "," 	869,000 "," 	52,200 ", 	5.7 
New York  County,2022,Mar," 	922,400 "," 	876,200 "," 	46,200 ", 	5.0 
New York  County,2022,Apr," 	911,800 "," 	870,700 "," 	41,100 ", 	4.5 
New York  County,2022,May," 	914,800 "," 	874,900 "," 	39,900 ", 	4.4 
New York  County,2022,Jun," 	917,000 "," 	875,500 "," 	41,500 ", 	4.5 
New York  County,2022,Jul," 	922,900 "," 	881,900 "," 	41,000 ", 	4.4 
New York  County,2022,Aug," 	922,300 "," 	883,200 "," 	39,100 ", 	4.2 
New York  County,2022,Sep," 	915,000 "," 	880,600 "," 	34,300 ", 	3.8 
New York  County,2022,Oct," 	921,300 "," 	883,700 "," 	37,600 ", 	4.1 
New York  County,2022,Nov," 	919,800 "," 	881,700 "," 	38,100 ", 	4.1 
New York  County,2022,Dec," 	924,400 "," 	886,200 "," 	38,200 ", 	4.1 
New York  County,2022,Avg," 	919,125 "," 	876,983 "," 	42,125 ", 	4.6 
,,,,,,
New York  County,2021,Jan," 	889,200 "," 	802,200 "," 	87,000 ", 	9.8 
New York  County,2021,Feb," 	898,400 "," 	813,300 "," 	85,200 ", 	9.5 
New York  County,2021,Mar," 	904,300 "," 	825,800 "," 	78,400 ", 	8.7 
New York  County,2021,Apr," 	902,800 "," 	826,900 "," 	75,900 ", 	8.4 
New York  County,2021,May," 	894,700 "," 	824,900 "," 	69,800 ", 	7.8 
New York  County,2021,Jun," 	906,300 "," 	831,000 "," 	75,300 ", 	8.3 
New York  County,2021,Jul," 	913,200 "," 	839,700 "," 	73,600 ", 	8.1 
New York  County,2021,Aug," 	912,200 "," 	841,900 "," 	70,300 ", 	7.7 
New York  County,2021,Sep," 	906,800 "," 	845,800 "," 	61,000 ", 	6.7 
New York  County,2021,Oct," 	912,900 "," 	854,700 "," 	58,300 ", 	6.4 
New York  County,2021,Nov," 	909,900 "," 	856,400 "," 	53,400 ", 	5.9 
New York  County,2021,Dec," 	910,000 "," 	857,700 "," 	52,300 ", 	5.8 
New York  County,2021,Avg," 	905,058 "," 	835,025 "," 	70,042 ", 	7.8 
,,,,,,
New York  County,2020,Jan," 	966,500 "," 	931,300 "," 	35,100 ", 	3.6 
New York  County,2020,Feb," 	975,100 "," 	939,000 "," 	36,100 ", 	3.7 
New York  County,2020,Mar," 	968,500 "," 	923,300 "," 	45,200 ", 	4.7 
New York  County,2020,Apr," 	810,700 "," 	737,500 "," 	73,100 ", 	9.0 
New York  County,2020,May," 	825,800 "," 	691,400 "," 	134,400 ", 	16.3 
New York  County,2020,Jun," 	876,600 "," 	761,000 "," 	115,500 ", 	13.2 
New York  County,2020,Jul," 	887,800 "," 	768,000 "," 	119,800 ", 	13.5 
New York  County,2020,Aug," 	891,300 "," 	786,900 "," 	104,400 ", 	11.7 
New York  County,2020,Sep," 	885,600 "," 	786,800 "," 	98,800 ", 	11.2 
New York  County,2020,Oct," 	896,000 "," 	804,700 "," 	91,300 ", 	10.2 
New York  County,2020,Nov," 	892,800 "," 	806,400 "," 	86,400 ", 	9.7 
New York  County,2020,Dec," 	889,600 "," 	807,600 "," 	82,000 ", 	9.2 
New York  County,2020,Avg," 	897,192 "," 	811,992 "," 	85,175 ", 	9.7 
,,,,,,
New York  County,2019,Jan," 	960,800 "," 	920,100 "," 	40,700 ", 	4.2 
New York  County,2019,Feb," 	968,400 "," 	930,500 "," 	37,900 ", 	3.9 
New York  County,2019,Mar," 	969,400 "," 	934,600 "," 	34,700 ", 	3.6 
New York  County,2019,Apr," 	962,200 "," 	931,200 "," 	31,000 ", 	3.2 
New York  County,2019,May," 	957,600 "," 	924,700 "," 	32,800 ", 	3.4 
New York  County,2019,Jun," 	961,700 "," 	928,200 "," 	33,500 ", 	3.5 
New York  County,2019,Jul," 	960,200 "," 	925,000 "," 	35,200 ", 	3.7 
New York  County,2019,Aug," 	958,700 "," 	924,300 "," 	34,500 ", 	3.6 
New York  County,2019,Sep," 	961,900 "," 	931,100 "," 	30,800 ", 	3.2 
New York  County,2019,Oct," 	967,600 "," 	934,500 "," 	33,100 ", 	3.4 
New York  County,2019,Nov," 	960,700 "," 	930,300 "," 	30,400 ", 	3.2 
New York  County,2019,Dec," 	960,700 "," 	932,500 "," 	28,100 ", 	2.9 
New York  County,2019,Avg," 	962,492 "," 	928,917 "," 	33,558 ", 	3.5 
