county,beneficiaries,total_amount,month
BRONX,9600,14314000.0,0
KINGS,14700,22790000.0,0
NEW YORK,9400,15237000.0,0
QUEENS,11100,18167000.0,0
RICHMOND,2300,3793000.0,0
BRONX,9400,13560000.0,1
KINGS,14700,21095000.0,1
NEW YORK,9200,13506000.0,1
QUEENS,10900,16554000.0,1
RICHMOND,2200,3545000.0,1
BRONX,8800,13010000.0,2
KINGS,13600,20418000.0,2
NEW YORK,8500,13246000.0,2
QUEENS,10100,15970000.0,2
RICHMOND,2000,3236000.0,2
BRONX,8200,14499000.0,3
KINGS,12600,22896000.0,3
NEW YORK,7900,15142000.0,3
QUEENS,9100,17737000.0,3
RICHMOND,1800,3594000.0,3
BRONX,7200,11858000.0,4
KINGS,11300,19486000.0,4
NEW YORK,7300,13441000.0,4
QUEENS,8100,15001000.0,4
RICHMOND,1600,2942000.0,4
BRONX,6800,11555000.0,5
KINGS,10600,18721000.0,5
NEW YORK,6900,12974000.0,5
QUEENS,7700,14417000.0,5
RICHMOND,1500,2736000.0,5
BRONX,7800,16717000.0,6
KINGS,11800,25712000.0,6
NEW YORK,7600,16655000.0,6
QUEENS,8700,19270000.0,6
RICHMOND,1800,4305000.0,6
BRONX,7800,15194000.0,7
KINGS,11600,22582000.0,7
NEW YORK,7500,14504000.0,7
QUEENS,8600,16906000.0,7
RICHMOND,1700,3929000.0,7
BRONX,8200,14527000.0,8
KINGS,12100,21945000.0,8
NEW YORK,7900,14535000.0,8
QUEENS,9100,16739000.0,8
RICHMOND,1800,3401000.0,8
BRONX,8500,12996000.0,9
KINGS,12500,20473000.0,9
NEW YORK,8400,14575000.0,9
QUEENS,9400,16020000.0,9
RICHMOND,1900,3064000.0,9
BRONX,8800,12680000.0,10
KINGS,12700,19357000.0,10
NEW YORK,8500,13557000.0,10
QUEENS,9600,15218000.0,10
RICHMOND,1900,3004000.0,10
BRONX,10700,17219000.0,11
KINGS,15500,25548000.0,11
NEW YORK,9600,16922000.0,11
QUEENS,11900,20065000.0,11
RICHMOND,2600,4353000.0,11
BRONX,11200,15818000.0,12
KINGS,16200,24139000.0,12
NEW YORK,10200,16100000.0,12
QUEENS,12600,19316000.0,12
RICHMOND,2600,4119000.0,12
BRONX,11400,15734000.0,13
KINGS,16400,23521000.0,13
NEW YORK,10200,15362000.0,13
QUEENS,12500,18759000.0,13
RICHMOND,2600,4076000.0,13
BRONX,22800,25608000.0,14
KINGS,39300,42314000.0,14
NEW YORK,24500,27957000.0,14
QUEENS,34900,36314000.0,14
RICHMOND,6400,6795000.0,14
BRONX,81600,117695000.0,15
KINGS,145000,214016000.0,15
NEW YORK,75300,119244000.0,15
QUEENS,163500,239151000.0,15
RICHMOND,25700,37518000.0,15
BRONX,111700,171918000.0,16
KINGS,194200,306694000.0,16
NEW YORK,99100,166900000.0,16
QUEENS,209300,332503000.0,16
RICHMOND,32400,49088000.0,16
BRONX,126200,241000000.0,17
KINGS,210000,399744000.0,17
NEW YORK,110000,221412000.0,17
QUEENS,220400,416654000.0,17
RICHMOND,33000,58736000.0,17
BRONX,125300,187244000.0,18
KINGS,205100,313411000.0,18
NEW YORK,108500,176188000.0,18
QUEENS,206600,310562000.0,18
RICHMOND,30000,43299000.0,18
BRONX,119300,185749000.0,19
KINGS,189700,292659000.0,19
NEW YORK,101200,165086000.0,19
QUEENS,189800,288675000.0,19
RICHMOND,27200,40875000.0,19
BRONX,111500,145406000.0,20
KINGS,172800,231821000.0,20
NEW YORK,92500,130680000.0,20
QUEENS,172700,228871000.0,20
RICHMOND,24600,31643000.0,20
BRONX,66600,72401000.0,21
KINGS,101000,113007000.0,21
NEW YORK,53000,63596000.0,21
QUEENS,97900,101650000.0,21
RICHMOND,13900,15111000.0,21
BRONX,44600,56787000.0,22
KINGS,66000,85951000.0,22
NEW YORK,34600,47700000.0,22
QUEENS,61000,74563000.0,22
RICHMOND,9400,11936000.0,22
BRONX,43900,45602000.0,23
KINGS,63400,71562000.0,23
NEW YORK,32700,40270000.0,23
QUEENS,59400,63255000.0,23
RICHMOND,10000,10634000.0,23
BRONX,43500,43418000.0,24
KINGS,64100,67479000.0,24
NEW YORK,31400,35908000.0,24
QUEENS,60500,60192000.0,24
RICHMOND,10200,10296000.0,24
BRONX,42300,43740000.0,25
KINGS,60700,66662000.0,25
NEW YORK,28800,34477000.0,25
QUEENS,58000,59949000.0,25
RICHMOND,10000,10583000.0,25
BRONX,41500,49644000.0,26
KINGS,58800,73471000.0,26
NEW YORK,28500,38280000.0,26
QUEENS,56200,64876000.0,26
RICHMOND,9300,11179000.0,26
BRONX,43700,45067000.0,27
KINGS,59800,64864000.0,27
NEW YORK,30400,34605000.0,27
QUEENS,56500,58318000.0,27
RICHMOND,10200,10175000.0,27
BRONX,34600,41146000.0,28
KINGS,47100,57269000.0,28
NEW YORK,23300,30360000.0,28
QUEENS,46000,53364000.0,28
RICHMOND,7300,8878000.0,28
BRONX,34600,46125000.0,29
KINGS,46900,64414000.0,29
NEW YORK,22900,34163000.0,29
QUEENS,45400,60013000.0,29
RICHMOND,7300,9859000.0,29
BRONX,33500,36927000.0,30
KINGS,45100,52290000.0,30
NEW YORK,21100,26286000.0,30
QUEENS,42500,46502000.0,30
RICHMOND,7400,8522000.0,30
BRONX,32000,41870000.0,31
KINGS,42800,58082000.0,31
NEW YORK,19700,28655000.0,31
QUEENS,40300,51313000.0,31
RICHMOND,7200,10056000.0,31
BRONX,31000,30000000.0,32
KINGS,41500,42062000.0,32
NEW YORK,19200,21226000.0,32
QUEENS,38600,36619000.0,32
RICHMOND,7100,7304000.0,32
BRONX,20800,22353000.0,33
KINGS,28100,31472000.0,33
NEW YORK,13600,16244000.0,33
QUEENS,24800,26695000.0,33
RICHMOND,4600,5355000.0,33
BRONX,18100,22905000.0,34
KINGS,24200,31600000.0,34
NEW YORK,11900,16240000.0,34
QUEENS,21400,26778000.0,34
RICHMOND,4200,5565000.0,34
BRONX,16400,19375000.0,35
KINGS,22300,27117000.0,35
NEW YORK,11100,14306000.0,35
QUEENS,19400,22488000.0,35
RICHMOND,3900,4723000.0,35
BRONX,17800,21339000.0,36
KINGS,24800,31147000.0,36
NEW YORK,11900,16006000.0,36
QUEENS,21300,26035000.0,36
RICHMOND,4800,5931000.0,36
BRONX,15400,17772000.0,37
KINGS,21400,25279000.0,37
NEW YORK,10300,13109000.0,37
QUEENS,18600,21803000.0,37
RICHMOND,4000,4706000.0,37
BRONX,14600,17689000.0,38
KINGS,20000,26182000.0,38
NEW YORK,10200,13856000.0,38
QUEENS,17300,21764000.0,38
RICHMOND,3600,4639000.0,38
BRONX,12900,14464000.0,39
KINGS,18000,21633000.0,39
NEW YORK,8800,11326000.0,39
QUEENS,14800,17683000.0,39
RICHMOND,3400,3772000.0,39
BRONX,11100,15852000.0,40
KINGS,15900,23617000.0,40
NEW YORK,8600,13037000.0,40
QUEENS,12700,18711000.0,40
RICHMOND,2700,3870000.0,40
BRONX,10700,14211000.0,41
KINGS,15700,21675000.0,41
NEW YORK,8700,12367000.0,41
QUEENS,12100,16797000.0,41
RICHMOND,2600,3586000.0,41
BRONX,12900,15305000.0,42
KINGS,18100,22736000.0,42
NEW YORK,9500,12396000.0,42
QUEENS,13500,17070000.0,42
RICHMOND,3300,4146000.0,42
BRONX,13800,20457000.0,43
KINGS,19400,30013000.0,43
NEW YORK,10300,16472000.0,43
QUEENS,14100,21398000.0,43
RICHMOND,3600,5594000.0,43
BRONX,13400,15309000.0,44
KINGS,19000,23460000.0,44
NEW YORK,10000,13515000.0,44
QUEENS,13600,16936000.0,44
RICHMOND,3500,3902000.0,44
BRONX,10900,15542000.0,45
KINGS,16600,24484000.0,45
NEW YORK,9400,14410000.0,45
QUEENS,11900,17610000.0,45
RICHMOND,2600,3686000.0,45
BRONX,11100,15039000.0,46
KINGS,16700,24232000.0,46
NEW YORK,9800,14810000.0,46
QUEENS,12300,17809000.0,46
RICHMOND,2600,3588000.0,46
BRONX,11700,15223000.0,47
KINGS,17600,24698000.0,47
NEW YORK,10500,14963000.0,47
QUEENS,13200,18291000.0,47
RICHMOND,2800,3604000.0,47
BRONX,14700,19736000.0,48
KINGS,21900,31517000.0,48
NEW YORK,12300,18942000.0,48
QUEENS,16700,23617000.0,48
RICHMOND,3800,5047000.0,48
BRONX,13700,16909000.0,49
KINGS,20700,27912000.0,49
NEW YORK,11900,16902000.0,49
QUEENS,15700,21169000.0,49
RICHMOND,3400,4261000.0,49
BRONX,13200,18016000.0,50
KINGS,20700,30746000.0,50
NEW YORK,12600,19351000.0,50
QUEENS,15700,22982000.0,50
RICHMOND,3100,4405000.0,50
BRONX,14100,16871000.0,51
KINGS,22500,29866000.0,51
NEW YORK,13200,18826000.0,51
QUEENS,16600,21836000.0,51
RICHMOND,3700,4285000.0,51
BRONX,12900,20391000.0,52
KINGS,21600,36359000.0,52
NEW YORK,13800,24143000.0,52
QUEENS,15700,26504000.0,52
RICHMOND,2900,4790000.0,52
BRONX,12800,17619000.0,53
KINGS,21800,32721000.0,53
NEW YORK,14100,22147000.0,53
QUEENS,15700,23274000.0,53
RICHMOND,3000,4181000.0,53
BRONX,15800,22856000.0,54
KINGS,26100,40772000.0,54
NEW YORK,15900,26014000.0,54
QUEENS,18300,28355000.0,54
RICHMOND,4000,5962000.0,54
BRONX,16100,23113000.0,55
KINGS,27700,44503000.0,55
NEW YORK,16900,28682000.0,55
QUEENS,19000,29915000.0,55
RICHMOND,4100,6180000.0,55
BRONX,15900,19789000.0,56
KINGS,27500,39127000.0,56
NEW YORK,16700,24929000.0,56
QUEENS,18800,26050000.0,56
RICHMOND,4000,4991000.0,56
BRONX,13500,21472000.0,57
KINGS,24700,41997000.0,57
NEW YORK,15900,27832000.0,57
QUEENS,17000,28539000.0,57
RICHMOND,3100,4930000.0,57
BRONX,13100,17898000.0,58
KINGS,23600,34987000.0,58
NEW YORK,15100,23439000.0,58
QUEENS,16500,24498000.0,58
RICHMOND,3000,4188000.0,58
BRONX,13100,17817000.0,59
KINGS,22500,32771000.0,59
NEW YORK,14500,21731000.0,59
QUEENS,16100,23299000.0,59
RICHMOND,3100,4067000.0,59
BRONX,16100,22973000.0,60
KINGS,26600,41663000.0,60
NEW YORK,16100,26866000.0,60
QUEENS,19500,30544000.0,60
RICHMOND,4200,5668000.0,60
BRONX,15200,19533000.0,61
KINGS,24800,34854000.0,61
NEW YORK,14900,22183000.0,61
QUEENS,18500,25955000.0,61
RICHMOND,3700,4632000.0,61
